,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio mayo 2022,Descuento,Precio referencial con convenio mayo 2022
874,MIRTAZAPINA,DIVARIL (B) 30mg X30COM.REC.,TECNOFARMA LTDA.,$ 28.899,17%,$ 23.986
875,MIRTAZAPINA,CIBLEX (B) 30mg X30COM.REC.,RECALCINE,$ 49.499,23%,$ 38.114
876,MOMETASONA,MOMETASONA 0.1% CR. TOPICA X15g,ASCEND LABORATORIES SPA,$ 6.699,70%,$ 2.010
877,MOMETASONA FUROATO PARA INHALACION,PLUSTER 50mcg NEB.X120DS.,DEUTSCHE PHARMA S.A.,$ 10.999,40%,$ 6.599
878,MOMETASONA FUROATO PARA INHALACION,SYNALLER 50mcg NEB.X200DS.,PASTEUR,$ 15.299,40%,$ 9.179
879,MONTELUKAST,BRONDILAT PED.4mg GRAN.X40SOB.,RECALCINE,$ 35.999,20%,$ 28.799
880,MONTELUKAST,(R) SINGULAIR 10mg COMP.X30,MSD-ORGANON,$ 94.999,29%,$ 67.449
881,MONTELUKAST,LUCASTE (B) 5mg X30.COM.MAST.,EUROFARMA CHILE S.A.,$ 18.899,37%,$ 11.906
882,MONTELUKAST,LUCASTE (B) 4mg X30.COM.MAST.,EUROFARMA CHILE S.A.,$ 18.899,41%,$ 11.150
883,MONTELUKAST,MONKAST (B) 10mg X28COM.REC.,PASTEUR,$ 21.199,47%,$ 11.235
884,MONTELUKAST,MONKAST (B) 5mg X28COM.MAST.,PASTEUR,$ 19.499,54%,$ 8.970
885,MONTELUKAST,MONKAST (B) 4mg X28COM.MAST.,PASTEUR,$ 17.899,59%,$ 7.339
886,MONTELUKAST,BRONDILAT (B) 10mg X30COM.REC.,RECALCINE,$ 56.599,60%,$ 22.640
887,MOXIFLOXACINO,MOXIFLOXACINO (B) 400mg X10COM.REC.,LABORATORIO CHILE,$ 18.999,49%,$ 9.689
888,MUPIROCINA,MUPAX 2% UNG.X7.5g,RAFFO S.A.,$ 6.299,15%,$ 5.354
889,N-ACETILCISTEINA,FLUIDASA 100mg X10SOB.,RECALCINE,$ 4.499,15%,$ 3.824
890,N-ACETILCISTEINA,FLUIDASA 600mg X10SOB.,RECALCINE,$ 4.999,15%,$ 4.249
891,N-ACETILCISTEINA,ACEMUK 100mg JBE.100ml,DEUTSCHE PHARMA S.A.,$ 9.899,20%,$ 7.919
892,NAFAZOLINA + HIDROXIPROPILMETILCELULOSA + DEXTRAN,NOVOTEARS SOL.OFT.10ml,SAVAL S.A.,$ 5.799,54%,$ 2.668
893,NANDROLONA DECANOATO,DECADURABOLIN 50mg/ml JP.X1,ASPEN CHILE,$ 19.399,33%,$ 12.997
894,NAPROXENO,NAPROXENO (B) 550mg X10COM.,ANDROMACO FARMA,$ 3.299,62%,$ 1.254
895,NEBIVOLOL,PERTIUM (B) 5mg X30COM.,SAVAL S.A.,$ 16.099,24%,$ 12.235
896,NEBIVOLOL,NABILA (B) 2.5mg COMP.X28,TECNOFARMA LTDA.,$ 13.699,31%,$ 9.452
897,NEBIVOLOL,DOOX (B) 5mg X30COM.,LABORATORIO CHILE,$ 21.699,32%,$ 14.755
898,NEBIVOLOL,ANFIBOL (B) 5mg X30COM.REC.,ABBOTT ETICO,$ 19.499,38%,$ 12.089
899,NEOLUCID,NEOLUCID LOC.LIM.X250ml,SMB,$ 12.599,42%,$ 7.307
900,NIFEDIPINO,CARDICON RET.20mg X30COM.,ITF (EX LABOMED),$ 29.699,13%,$ 25.838
901,NIFEDIPINO,NIFEDIPINO RET.20mg X30COM.REC.,LABORATORIO CHILE,$ 2.499,65%,$ 875
902,NIFUROXAZIDA + FTALILSULFATIAZOL,LIRACOL AD.X20COM.,MEDIPHARM,$ 3.799,25%,$ 2.849
903,NIFUROXAZIDA + FTALILSULFATIAZOL,IMECOL AD. X16COM.,MAVER FARMA,$ 4.299,25%,$ 3.224
904,NISTATINA + ZINC OXIDO + VIT.A + VIT.D,NISTAGLOS CR.X30g,ANDROMACO FARMA,$ 15.699,26%,$ 11.617
905,NISTATINA DERMICA,NISTATINA 100000UI UNG.X15g,LABORATORIO CHILE,$ 2.599,46%,$ 1.403
906,NISTATINA VAGINAL,NISTATINA 100000UI X12OVULOS,LABORATORIO CHILE,$ 3.899,51%,$ 1.911
907,NITROFURANTOINA,NITROFURANTOINA (B) 100mg X10COM.,HOSPIFARMA,$ 1.599,21%,$ 1.263
908,NITROFURANTOINA,MACROSAN (B) 100mg X15CAP.,SANITAS S.A.,$ 12.099,30%,$ 8.469
909,NITROFURANTOINA,(B) MACROSAN 50mg CAPS.X30,SANITAS S.A.,$ 8.399,32%,$ 5.711
910,NOMEGESTROL,ARIANA 28COM.REC,SAVAL S.A.,$ 17.599,25%,$ 13.199
911,NOSCAPINA,NOSCAPINA 5mg/5ml JBE.X100ml,HOSPIFARMA,$ 2.699,52%,$ 1.296
912,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX GTAS.X15ml,RECALCINE,$ 13.999,25%,$ 10.499
913,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX JBE.X120ml,RECALCINE,$ 10.899,25%,$ 8.174
914,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX X10CAP.,RECALCINE,$ 10.299,25%,$ 7.724
915,OLANZAPINA,AMULSIN (B) 10mg X30 COM.REC.,SANITAS S.A.,$ 35.299,20%,$ 28.239
916,OLANZAPINA,AMULSIN (B) 5mg X30COM.REC.,SANITAS S.A.,$ 28.799,23%,$ 22.175
917,OLANZAPINA,SINCRIS (B) 5mg X30COM.REC.,LABORATORIO CHILE,$ 25.499,29%,$ 18.104
918,OLANZAPINA,SINCRIS (B) 10mg X30COM.REC.,LABORATORIO CHILE,$ 36.799,34%,$ 24.287
919,OLANZAPINA,OLANVITAE (B) 10mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$ 33.699,34%,$ 22.241
920,OLANZAPINA,OLANVITAE (B) 5mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$ 25.599,41%,$ 15.103
921,OLMESARTAN,OLTAN 20mg X30COM.REC.,ITF (EX LABOMED),$ 15.499,35%,$ 10.074
922,OLMESARTAN,OLTAN 40mg X30COM.REC.,ITF (EX LABOMED),$ 18.999,44%,$ 10.639
923,OLMESARTAN + AMLODIPINO,OLTAN AMLO 40/5 X30COM.REC.,ITF (EX LABOMED),$ 17.899,30%,$ 12.529
924,OLMESARTAN + AMLODIPINO,ILTUXAM 40/5 X28COM.REC,TECNOFARMA LTDA.,$ 17.299,39%,$ 10.552
925,OLMESARTAN + HIDROCLOROTIAZIDA,OLTAN D 20/12.5 X30COM.,ITF (EX LABOMED),$ 16.099,33%,$ 10.786
926,OLMESARTAN + HIDROCLOROTIAZIDA,OLTAN D 40/12.5 X30COM.,ITF (EX LABOMED),$ 18.799,40%,$ 11.279
927,OLODATEROL CLORHIDRATO+BROMURO DE TIOTRO,SPIOLTO RESPIMAT 2.5/2.5 INH.30DS.,BOEHRINGER INGELHEIM,$ 75.199,27%,$ 54.895
928,OLOPATADINA,ZEPIKEN (B) 0.2% SOF 5ml,D&M PHARMA S.A.,$ 17.899,26%,$ 13.245
929,OMEGA 3,OMEGA 3 UP ULTRAPURE X150CAP,NEW SCIENCE,$ 27.999,29%,$ 19.879
930,OMEGA3+ANTIOXIDANTES+MINERALES+VITAMINAS,MANHAE X30CAP.,PASTEUR,$ 18.699,20%,$ 14.959
931,OMEPRAZOL,LOMEX (B) 20mg X28CAP.PROL.,SAVAL S.A.,$ 24.199,28%,$ 17.423
932,OMEPRAZOL,OMEPRAZOL (B) 20mg X60COM.,LABORATORIO CHILE,$ 3.699,30%,$ 2.589
933,OMEPRAZOL,OMEPRAZOL (B) 20mg X30CAP.,LABORATORIO CHILE,$ 1.899,53%,$ 893
934,ONDANSETRON,EMETIX 8mg X10COM.BUC,KAMPAR S.A.,$ 13.699,39%,$ 8.356
935,ONDANSETRON,ODATRON (B) 8mg X8COM.BUC.,PASTEUR,$ 68.599,40%,$ 41.159
936,OTILONIO BROMURO,SPASMODOX 40mg COMP.X30,RECALCINE,$ 20.499,22%,$ 15.989
937,OXCARBAZEPINA,TRILEPTAL 300mg X30COM.,AXON PHARMA,$ 33.999,22%,$ 26.519
938,OXCARBAZEPINA,TRILEPTAL 600mg COMP.X60,AXON PHARMA,$ 122.799,30%,$ 85.959
939,OXCARBAZEPINA,TRILEPTAL 300mg X60COM.REC.,AXON PHARMA,$ 62.899,33%,$ 42.142
940,OXIBUTININA,URICONT TU COMP.X30,SYNTHON,$ 28.999,38%,$ 17.979
941,OXIBUTININA,URICONT TU FTE.COMP.X30,SYNTHON,$ 32.999,44%,$ 18.479
942,OXIBUTININA,URAZOL 5mg COMP.X30,TECNOFARMA LTDA.,$ 20.199,51%,$ 9.898
943,OXIBUTININA,URICONT 5mg COMP.X40,SYNTHON,$ 18.399,59%,$ 7.544
944,OXIDO DE ZINC,PASTA LASSAR X100g,RECETARIO,$ 2.399,20%,$ 1.919
945,OXIDO DE ZINC,PASTA LASSAR X50g,RECETARIO,$ 1.699,79%,$ 357
946,OXIPOLIETOXIDODECANO + ACEITE DE HIGADO DE BACALAO + CLOROCARVACROL,VATANAL X10SUP.,FARMOQUIMICA DEL PACIFICO,$ 16.599,46%,$ 8.963
947,OXOLAMINA,OXOLAMINA PED.28mg/5ml JBE.X100ml,ANDROMACO FARMA,$ 2.099,50%,$ 1.050
948,OXOLAMINA,NUMOSOL PED.28mg/5ml JBE.X100ml,MEDIPHARM,$ 4.299,59%,$ 1.763
949,OXOLAMINA,OXOLAMINA AD.50mg/5ml JBE.X100ml,ANDROMACO FARMA,$ 2.399,60%,$ 960
950,PAMIDRONATO,AMINOMUX (B) 90mg AMP.X1,GADOR,$ 39.999,42%,$ 23.199
951,PANCREATINA,CREON 25.000 CAPS.X50,RECALCINE,$ 71.999,21%,$ 56.879
952,PANCREATINA,CREON 10.000 X20CAP.PROL.,ABBOTT FARMA,$ 24.999,34%,$ 16.499
953,PANCREATINA + PEPSINA + DIASTASA + BILIS DES. + SIMETICONA,FLAPEX E X20CAP.,ANDROMACO FARMA,$ 8.699,16%,$ 7.307
954,PANCREATINA + SIMETICONA,DIGENIL CAPS.X20,SAVAL S.A.,$ 13.199,49%,$ 6.731
955,PANCREATINA + SIMETICONA,NEOPANKREOFLAT COMP.X16,PHARMA INVESTI,$ 12.199,58%,$ 5.124
956,PANCREATINA + SIMETICONA,DIGENIL X10CAP.,SAVAL S.A.,$ 6.499,66%,$ 2.210
957,PANTOPRAZOL,PANTOCAL (B) 40mg X28COM.REC.,EUROFARMA CHILE S.A.,$ 19.599,36%,$ 12.543
958,PANTOPRAZOL,ZOLTUM 40mg X28COM.,TECNOFARMA LTDA.,$ 30.299,40%,$ 18.179
959,PARACETAMOL,GESIDOL NI?OS 160mg X16COM.MAST.,MEDIPHARM,$ 2.399,22%,$ 1.871
960,PARACETAMOL,GESIDOL (B) 500mg X24COM.,MEDIPHARM,$ 1.490,29%,$ 1.058
961,PARACETAMOL,XUMADOL 1g SOB.X20,ITF (EX LABOMED),$ 9.299,37%,$ 5.858
962,PARACETAMOL,KITADOL (B) 1g X18COM.,LABORATORIO CHILE,$ 8.299,40%,$ 4.979
963,PARACETAMOL,TAPSIN (B) 1g X20COM.REC,MAVER FARMA,$ 7.999,54%,$ 3.680
964,PARACETAMOL,PARACETAMOL 100mg/ml GTAS.X15ml,LABORATORIO CHILE,$ 1.499,55%,$ 675
965,PARACETAMOL,TAPSIN NI?OS 160mg X16COM.,MAVER FARMA,$ 2.899,55%,$ 1.305
966,PARACETAMOL,WINASORB 100mg/ml GTAS.X25ml,RECALCINE K2 HEALTH & WELLNESS,$ 6.099,57%,$ 2.623
967,PARACETAMOL,PARACETAMOL PED.125mg X6SUP.,LABORATORIO CHILE,$ 1.599,61%,$ 624
968,PARACETAMOL,TAPSIN PURO (B) 500mg X24COM.,MAVER FARMA,$ 2.499,69%,$ 775
969,PARACETAMOL,PARACETAMOL (B) 500mg X16COM.,LABORATORIO CHILE,$ 999,75%,$ 250
970,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,CORTIGRIP D/N X15COM.,MEDIPHARM,$ 3.499,25%,$ 2.624
971,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL (B) CPTO.GTAS.X15ml,BAGO,$ 15.599,25%,$ 11.699
972,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL DN X18COM.,BAGO,$ 3.799,25%,$ 2.849
973,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL CPTO.(B) JBE.X100ml,BAGO,$ 8.899,39%,$ 5.428
974,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,TRIO VAL S.O.X100ml,SAVAL S.A.,$ 14.899,53%,$ 7.003
975,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL CPTO.X10COM.REC.,BAGO,$ 4.999,64%,$ 1.800
976,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTUL CPTO.(B) JBE.X100ml,CHEMOPHARMA S.A.,$ 8.099,75%,$ 2.025
977,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTUL CPTO.X10COM.REC.,CHEMOPHARMA S.A.,$ 4.999,76%,$ 1.200
978,PARACETAMOL + CLORZOXAZONA,BREVEX X20COM.REC.,BAGO,$ 11.999,12%,$ 10.559
979,PARACETAMOL + CLORZOXAZONA,DESDOL X20COM.REC.,MEDIPHARM,$ 7.899,55%,$ 3.555
980,PARACETAMOL + PSEUDOEFEDRINA,CORTIGRIP X10COM.,MEDIPHARM,$ 3.799,41%,$ 2.241
981,PARACETAMOL + TRAMADOL,ZALDIAR X20COM.REC.,GRUNENTHAL,$ 27.899,41%,$ 16.460
982,PARACETAMOL + TRAMADOL,CRONOTAN X30COM.,ITF (EX LABOMED),$ 14.999,56%,$ 6.600
983,PARACETAMOL + TRAMADOL,ZALEDOR P X30COM.REC.,MEDIPHARM,$ 13.699,61%,$ 5.343
984,PARACETAMOL + TRAMADOL,PARACETAMOL/TRAMADOL (B) 325/37.5mg X30C,LABORATORIO CHILE,$ 8.499,69%,$ 2.635
985,PARGEVERINA CLORHIDRATO,BEVITEX FTE.10mg/ml GTAS.X20ml,PRATER,$ 6.599,48%,$ 3.431
986,PARGEVERINA CLORHIDRATO,VIADIL 5mg/ml GTAS.X15ml,PHARMA INVESTI,$ 7.399,50%,$ 3.700
987,PAROXETINA,PAMAX (B) 20mg X30COM.REC.,SANITAS S.A.,$ 26.199,21%,$ 20.697
988,PAROXETINA,DEROXAT CR 25mg COMP.X30,ETEX FARMACEUTICA LTDA.,$ 37.099,24%,$ 28.195
989,PAROXETINA,SERETRAN (B) 20mg X30COM.,RECALCINE,$ 38.499,25%,$ 28.874
990,PAROXETINA,TRAVIATA (B) 20mg X30COM.REC.,ANDROMACO FARMA,$ 43.799,27%,$ 31.973
991,PAROXETINA,POSIVYL (B) 20mg X30COM.REC.,LABORATORIO CHILE,$ 39.899,32%,$ 27.131
992,PAROXETINA,AROTEX (B) 20mg X30COM.REC,RAFFO S.A.,$ 19.699,57%,$ 8.471
993,PASIFLORA + MELISA,MELIPASS CAPS.X60,KNOP,$ 5.299,24%,$ 4.027
994,PENICILINA G SODICA,PENICILINA G SOD 1000000UI X1F-A,OPKO,$ 899,53%,$ 423
995,PENICILINA G SODICA,PENICILINA G SOD 2000000UI X1F-A,OPKO,$ 1.199,64%,$ 432
996,PERICIAZINA,NEULEPTIL 40mg GTAS.20ml,SANOFI,$ 41.399,15%,$ 35.189
997,PERINDOPRIL+ AMLODIPINO,COVERAM 10/10 COM.X30,FERRER,$ 31.699,15%,$ 26.944
998,PERMETRINA,NOLAIS 1% SH.X120ml,MEDIPHARM,$ 3.999,32%,$ 2.719
999,PERMETRINA,KILNITS 1% SH.X100ml,ANDROMACO FARMA,$ 10.099,48%,$ 5.251
1000,PIRACETAM,NOOTROPYL 800mg X30COM.REC.,GLAXO,$ 25.999,30%,$ 18.199
1001,PIRIDOSTIGMINA BROMHIDRATO,MESTINON 60mg COMP.X100,DEUTSCHE PHARMA S.A.,$ 62.999,21%,$ 49.769
1002,POLIMIXINA B + NEOMICINA + BETAMETASONA + LIDOCAINA,OTOLISAN SOL.OT.X10ml,PHARMA INVESTI,$ 15.999,20%,$ 12.799
1003,POLIVITAMINICO,INFORTIN PROBIOTICOS X30COM.MAST.,PRATER,$ 12.099,13%,$ 10.526
1004,POLIVITAMINICO,BION 3 X30COM.REC.,PROCTER&GAMBLE (FARMA),$ 10.799,15%,$ 9.179
1005,POLIVITAMINICO,INFOR E X30CAP.BLANDAS,PRATER,$ 15.299,53%,$ 7.191
1006,POLIVITAMINICO,INFORTIN MASTIC COMP.X30,PRATER,$ 9.199,64%,$ 3.312
1007,POLIVITAMINICO CON MINERALES,BION 3 MINI X30COM.MASTICABLES,PROCTER&GAMBLE (FARMA),$ 12.099,12%,$ 10.647
1008,POLIVITAMINICO CON MINERALES,REGENESIS UP X30CAP.BDAS.,EXELTIS CHILE,$ 16.899,20%,$ 13.519
1009,POLIVITAMINICO CON MINERALES,INFOR PRO X30COM.,PRATER,$ 11.899,66%,$ 4.046
1010,POLIVITAMINICO PRENATAL,REGENESIS MAX X30CAP,EXELTIS CHILE,$ 15.999,20%,$ 12.799
1011,POLIVITAMINICO PRENATAL,NATICARE SUPRA X30CAP.,ITF (EX LABOMED),$ 15.499,52%,$ 7.440
1012,POLIVITAMINICOS C/GINSENG,REGENESIS NEXT X30CAP.,EXELTIS CHILE,$ 16.799,20%,$ 13.439
1013,POLIVITAMINICOS C/GINSENG,INFOR CAPS.X30,PRATER,$ 7.399,45%,$ 4.069
1014,POLOXAMER + POLIETILENGLICOL + CARBOMER,BLEPHAGEL DUO GEL OF.X40g,THEA PHARMA SPA,$ 26.499,30%,$ 18.549
1015,POTASIO CLORURO,CLORURO DE POTASIO 600mg 50COM.REC,BPH S.A,$ 13.699,55%,$ 6.165
1016,POTASIO GLUCONATO,POTASIO GLUCONATO 31.2% X200ml,LABORATORIO CHILE,$ 6.899,36%,$ 4.415
1017,PRAMIPEXOLE,INTAXEL ER (B) 1.5mg X30COM.PROL,LABORATORIO CHILE,$ 48.999,28%,$ 35.279
1018,PRAMIPEXOLE,SIFROL (R) 1mg X30COM.,BOEHRINGER INGELHEIM,$ 79.299,29%,$ 56.302
1019,PRAMIPEXOLE,INTAXEL ER (B) 0.375mg 30COM.P,LABORATORIO CHILE,$ 17.999,33%,$ 12.059
1020,PRAMIPEXOLE,SIFROL ER (R) 1.5mg X30COM.PROL.,BOEHRINGER INGELHEIM,$ 107.999,40%,$ 64.799
1021,PRAMIPEXOLE,SIFROL (R) 0.25mg X30COM.,BOEHRINGER INGELHEIM,$ 31.199,40%,$ 18.719
1022,PRAMIPEXOLE,BIOPSOL (B) 1mg X30COM.,RECALCINE,$ 50.399,60%,$ 20.160
1023,PREDNISOLONA ACETATO COLIRIO,SOPHIPREN OFTENO 1% SOF.X5ml,SOPHIA,$ 20.999,40%,$ 12.599
1024,PREDNISOLONA ACETATO COLIRIO,PREDNISOLONA 1% SOF.X5ml,PHARMATECH CHILE S.A.,$ 9.799,68%,$ 3.136
1025,PREDNISONA,CORTIPREX 1mg/ml S.O.X100ml,LABORATORIO CHILE,$ 13.199,20%,$ 10.559
1026,PREDNISONA,BERSEN (B) 20mg X20COM.,PASTEUR,$ 7.099,23%,$ 5.466
1027,PREDNISONA,PROCION (B) 20mg X20COM.,MEDIPHARM,$ 7.399,29%,$ 5.253
1028,PREDNISONA,CORTIPREX (B) 20mg X20COM.REC.,LABORATORIO CHILE,$ 8.099,36%,$ 5.183
1029,PREDNISONA,PROCION 20mg/5ml S.O.X60ml,MEDIPHARM,$ 7.899,38%,$ 4.897
1030,PREDNISONA,BERSEN 20mg/5ml S.O.X60ml,PASTEUR,$ 11.699,48%,$ 6.083
1031,PREDNISONA,CORTIPREX 20mg/5ml S.O.X60ml,LABORATORIO CHILE,$ 11.099,50%,$ 5.550
1032,PREDNISONA,PREDNISONA (B) 5mg X20COM.,LABORATORIO CHILE,$ 1.399,70%,$ 420
1033,PREGABALINA,PREGALEX (B) 75mg X30COM.,ANDROMACO FARMA,$ 20.099,15%,$ 17.084
1034,PREGABALINA,LYRICA (R) 75mg X28CAP.,PFIZER,$ 45.199,15%,$ 38.419
1035,PREGABALINA,PREGOBIN (B) 150mg X30CAP.,RECALCINE,$ 44.999,20%,$ 35.999
1036,PREGABALINA,PREGALEX (B) 150mg X30COM.,ANDROMACO FARMA,$ 45.299,24%,$ 34.427
1037,PREGABALINA,PRESTAT (B) 75mg X40COM.,BAGO,$ 11.699,30%,$ 8.189
1038,PREGABALINA,PRESTAT (B) 50mg X40COM.,BAGO,$ 9.499,34%,$ 6.269
1039,PREGABALINA,NEURUM (B) 75mg X30COM.,SAVAL S.A.,$ 12.299,43%,$ 7.010
1040,PREGABALINA,PLENITEX (B) 150mg X30CAP.,RAFFO S.A.,$ 22.999,48%,$ 11.959
1041,PREGABALINA,PREGABALINA (B) 75mg X30CAP.,ASCEND LABORATORIES SPA,$ 10.999,50%,$ 5.500
1042,PRIMIDONA,PRIMIDONA 250mg X50COM.,LABORATORIO CHILE,$ 9.799,30%,$ 6.859
1043,PROGESTERONA,GESTEL 200mg X30CAP.BLANDAS,EXELTIS CHILE,$ 20.799,20%,$ 16.639
1044,PROGESTERONA,PROGENDO 400mg X30CAP.BLANDAS,RECALCINE,$ 33.699,24%,$ 25.611
1045,PROGESTERONA,PROGENDO 200mg X30CAP.BLANDAS,RECALCINE,$ 22.999,25%,$ 17.249
1046,PROGESTERONA,PROGENDO 100mg X30CAP.BLANDAS,RECALCINE,$ 19.799,25%,$ 14.849
1047,PROGESTERONA,PROGEVA 200mg X30CAP.,ITF (EX LABOMED),$ 20.899,54%,$ 9.614
1048,PROPAFENONA,RITMOCOR (R) 300mg X40COM.REC,RECALCINE,$ 41.499,34%,$ 27.389
1049,PROPAFENONA,RITMOCOR (R) 150mg X40COM.REC,RECALCINE,$ 28.399,36%,$ 18.175
1050,PROPAFENONA,TUNTA (B) 300mg X30COM.REC,EUROFARMA CHILE S.A.,$ 30.999,48%,$ 16.119
1051,PROPANOLOL,PROPRANOLOL (B) 40mg X20COM.,HOSPIFARMA,$ 799,51%,$ 392
1052,PROPANOLOL,PROPRANOLOL (B) 10mg X20COM.,HOSPIFARMA,$ 1.299,61%,$ 507
1053,PROPARACAINA,ANESTALCON 0.5% SOF.X15ml,ALCON CHILE LTDA.OTC,$ 36.699,31%,$ 25.322
1054,PROPILENGLICOL,SYSTANE COMPLETE 0.6% OF X10ml,ALCON CHILE LTDA.OTC,$ 27.199,20%,$ 21.759
1055,PROPINOXATO,VIPLAN 5mg/ml GTAS.X20ml,MEDIPHARM,$ 6.099,25%,$ 4.574
1056,PRUCALOPRIDA SUCCINATO,PRUCALEX 2mg X30COM.,ANDROMACO FARMA,$ 45.899,25%,$ 34.424
1057,PRUCALOPRIDA SUCCINATO,PRUVAL 2mg X30COM.REC,SAVAL S.A.,$ 41.099,32%,$ 27.947
1058,PSEUDOEFEDRINA + CETIRIZINA,FINDALER-D X20CAP.,MEDIPHARM,$ 10.999,25%,$ 8.249
1059,PSEUDOEFEDRINA + CETIRIZINA,RIGOTAX-D X30CAP.LIB.PROL.,PRATER,$ 14.499,56%,$ 6.380
1060,PSYLLIUM (PLANTAGO OVATA),BILAXIL 400g,BAYER OTC,$ 31.399,34%,$ 20.723
1061,QUETIAPINA,QUETIDIN (B) 300mg X30COM.REC.,RECALCINE,$ 80.999,15%,$ 68.849
1062,QUETIAPINA,QUETIDIN (B) 200mg X30COM.REC.,RECALCINE,$ 65.499,15%,$ 55.674
1063,QUETIAPINA,SEROQUEL XR (R) 200mg X30COM.PROL,ASTRA ZENECA DE CHILE LTDA.,$ 95.099,15%,$ 80.834
1064,QUETIAPINA,SEROQUEL XR (R) 400mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$ 122.499,16%,$ 102.899
1065,QUETIAPINA,SEROQUEL (R) 100mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$ 94.899,19%,$ 76.868
1066,QUETIAPINA,SEROQUEL (R) 25mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$ 46.199,19%,$ 37.421
1067,QUETIAPINA,SEROQUEL XR (R) 50mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$ 88.599,21%,$ 69.993
1068,QUETIAPINA,QUETIDIN (B) 25mg X30COM.REC.,RECALCINE,$ 25.999,23%,$ 20.019
1069,QUETIAPINA,SEROQUEL (R) 200mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$ 137.599,25%,$ 103.199
1070,QUETIAPINA,SEROQUEL XR 150mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$ 89.199,25%,$ 66.899
1071,QUETIAPINA,QUETEX (B) 200mg X30COM.REC,EXELTIS CHILE,$ 42.799,25%,$ 32.099
1072,QUETIAPINA,QUETEX XR (B) 150mg X30COM.REC,EXELTIS CHILE,$ 45.199,25%,$ 33.899
1073,QUETIAPINA,QUETEX XR (B) 50mg X30COM.REC,EXELTIS CHILE,$ 35.099,25%,$ 26.324
1074,QUETIAPINA,QUETIUM (B) 300mg X30COM.REC.,SAVAL S.A.,$ 40.599,25%,$ 30.449
1075,QUETIAPINA,QUETIDIN (B) 100mg X30COM.REC.,RECALCINE,$ 43.499,29%,$ 30.884
1076,QUETIAPINA,QUETIDIN XR 200mg X30COM.REC.,RECALCINE,$ 55.999,30%,$ 39.199
1077,QUETIAPINA,QUETIDIN XR 50mg X30COM.REC.,RECALCINE,$ 39.499,30%,$ 27.649
1078,QUETIAPINA,QUETIDIN XR 150mg X30COM.,RECALCINE,$ 47.999,30%,$ 33.599
1079,QUETIAPINA,ASICOT (B) 100mg X30COM.REC.,LABORATORIO CHILE,$ 23.599,35%,$ 15.339
1080,QUETIAPINA,ASICOT (B) 200mg X30COM.REC,LABORATORIO CHILE,$ 47.699,35%,$ 31.004
1081,QUETIAPINA,ASICOT (B) 25mg X30COM.REC,LABORATORIO CHILE,$ 17.399,35%,$ 11.309
1082,QUETIAPINA,QUETIAPINA (B) 25mg X30COM.REC,LABORATORIO CHILE,$ 7.999,35%,$ 5.199
1083,QUETIAPINA,QURAX XR (B) 300mg X30COM.PROL,PHARMA INVESTI,$ 38.999,37%,$ 24.569
1084,QUETIAPINA,SEROQUEL XR (R) 300mg X30COM.PROL,ASTRA ZENECA DE CHILE LTDA.,$ 106.399,50%,$ 53.200
1085,QUETIAPINA,EUFRENIM (B) 100mg X30COM.REC.,NOVARTIS CHILE S.A.,$ 16.799,50%,$ 8.400
1086,QUETIAPINA,GOFYL (B) 200mg X30COM.REC.,AXON PHARMA,$ 30.599,52%,$ 14.688
1087,QUETIAPINA,QURAX XR (B) 50mg X30COM.PROL,PHARMA INVESTI,$ 20.999,53%,$ 9.870
1088,QUETIAPINA,QURAX XR (B) 150mg X30COM.PROL,PHARMA INVESTI,$ 29.799,53%,$ 14.006
1089,QUETIAPINA,GOFYL (B) 100mg X30COM.REC.,AXON PHARMA,$ 15.799,62%,$ 6.004
1090,QUETIAPINA,GOFYL (B) 25mg X30COM.REC.,AXON PHARMA,$ 13.099,65%,$ 4.585
1091,QUETIAPINA,QUETIAPINA (B) 100mg X30COM.REC,LABORATORIO CHILE,$ 10.899,66%,$ 3.706
