,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio abril 2022,Descuento,Precio referencial con convenio abril 2022
930,OMEPRAZOL,OMEPRAZOL (B) 20mg X60COM.,LABORATORIO CHILE,$3.699,30%,$2.589
931,OMEPRAZOL,OMEPRAZOL (B) 20mg X30CAP.,LABORATORIO CHILE,$1.899,53%,$893
932,ONDANSETRON,EMETIX 8mg X10COM.BUC,KAMPAR S.A,$13.699,39%,$8.356
933,ONDANSETRON,ODATRON (B) 8mg X8COM.BUC.,PASTEUR,$68.599,40%,$41.159
934,OTILONIO BROMURO,SPASMODOX 40mg COMP.X30,RECALCINE,$19.499,22%,$15.209
935,OXCARBAZEPINA,TRILEPTAL 300mg X30COM.,AXON PHARMA,$31.699,22%,$24.725
936,OXCARBAZEPINA,TRILEPTAL 600mg COMP.X60,AXON PHARMA,$114.699,30%,$80.289
937,OXCARBAZEPINA,TRILEPTAL 300mg X60COM.REC.,AXON PHARMA,$58.699,33%,$39.328
938,OXIBUTININA,URICONT TU COMP.X30,SYNTHON,$28.999,38%,$17.979
939,OXIBUTININA,URICONT TU FTE.COMP.X30,SYNTHON,$32.999,44%,$18.479
940,OXIBUTININA,URAZOL 5mg COMP.X30,TECNOFARMA LTDA.,$19.199,51%,$9.408
941,OXIBUTININA,URICONT 5mg COMP.X40,SYNTHON,$18.399,59%,$7.544
942,OXIDO DE ZINC,PASTA LASSAR X100g,RECETARIO,$2.399,20%,$1.919
943,OXIDO DE ZINC,PASTA LASSAR X50g,RECETARIO,$1.699,79%,$357
944,OXIPOLIETOXIDODECANO + ACEITE DE HIGADO DE BACALAO + CLOROCARVACROL,VATANAL X10SUP.,FARMOQUIMICA DEL PACIFICO,$16.599,46%,$8.963
945,OXOLAMINA,OXOLAMINA PED.28mg/5ml JBE.X100ml,ANDROMACO FARMA,$2.099,50%,$1.050
946,OXOLAMINA,NUMOSOL PED.28mg/5ml JBE.X100ml,MEDIPHARM,$4.299,59%,$1.763
947,OXOLAMINA,OXOLAMINA AD.50mg/5ml JBE.X100ml,ANDROMACO FARMA,$2.399,60%,$960
948,PAMIDRONATO,AMINOMUX (B) 90mg AMP.X1,GADOR,$39.999,42%,$23.199
949,PANCREATINA,CREON 25.000 CAPS.X50,RECALCINE,$71.999,21%,$56.879
950,PANCREATINA,CREON 10.000 X20CAP.PROL.,ABBOTT FARMA,$24.999,34%,$16.499
951,PANCREATINA + PEPSINA + DIASTASA + BILIS DES. + SIMETICONA,FLAPEX E X20CAP.,ANDROMACO FARMA,$8.399,16%,$7.055
952,PANCREATINA + SIMETICONA,DIGENIL CAPS.X20,SAVAL S.A.,$12.699,49%,$6.476
953,PANCREATINA + SIMETICONA,NEOPANKREOFLAT COMP.X16,PHARMA INVESTI,$11.599,58%,$4.872
954,PANCREATINA + SIMETICONA,DIGENIL X10CAP.,SAVAL S.A.,$6.299,66%,$2.142
955,PANTOPRAZOL,PANTOCAL (B) 40mg X28COM.REC.,EUROFARMA CHILE S.A.,$19.599,36%,$12.543
956,PANTOPRAZOL,ZOLTUM 40mg X28COM.,TECNOFARMA LTDA.,$27.999,40%,$16.799
957,PARACETAMOL,GESIDOL NI?OS 160mg X16COM.MAST.,MEDIPHARM,$2.399,22%,$1.871
958,PARACETAMOL,GESIDOL (B) 500mg X24COM.,MEDIPHARM,$1.490,29%,$1.058
959,PARACETAMOL,XUMADOL 1g SOB.X20,ITF (EX LABOMED),$9.299,37%,$5.858
960,PARACETAMOL,KITADOL (B) 1g X18COM.,LABORATORIO CHILE,$8.299,40%,$4.979
961,PARACETAMOL,TAPSIN (B) 1g X20COM.REC,MAVER FARMA,$7.999,54%,$3.680
962,PARACETAMOL,PARACETAMOL 100mg/ml GTAS.X15ml,LABORATORIO CHILE,$1.499,55%,$675
963,PARACETAMOL,TAPSIN NI?OS 160mg X16COM.,MAVER FARMA,$2.699,55%,$1.215
964,PARACETAMOL,WINASORB 100mg/ml GTAS.X25ml,RECALCINE K2 HEALTH & WELLNESS,$6.099,57%,$2.623
965,PARACETAMOL,PARACETAMOL PED.125mg X6SUP.,LABORATORIO CHILE,$1.599,61%,$624
966,PARACETAMOL,TAPSIN PURO (B) 500mg X24COM.,MAVER FARMA,$2.499,69%,$775
967,PARACETAMOL,PARACETAMOL (B) 500mg X16COM.,LABORATORIO CHILE,$999,75%,$250
968,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,CORTIGRIP D/N X15COM.,MEDIPHARM,$3.499,25%,$2.624
969,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL (B) CPTO.GTAS.X15ml,BAGO,$15.599,25%,$11.699
970,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL DN X18COM.,BAGO,$3.799,25%,$2.849
971,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL CPTO.(B) JBE.X100ml,BAGO,$8.899,39%,$5.428
972,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,TRIO VAL S.O.X100ml,SAVAL S.A.,$14.199,53%,$6.674
973,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL CPTO.X10COM.REC.,BAGO,$4.999,64%,$1.800
974,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTUL CPTO.(B) JBE.X100ml,CHEMOPHARMA S.A.,$8.099,75%,$2.025
975,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTUL CPTO.X10COM.REC.,CHEMOPHARMA S.A.,$4.999,76%,$1.200
976,PARACETAMOL + CLORZOXAZONA,BREVEX X20COM.REC.,BAGO,$11.999,12%,$10.559
977,PARACETAMOL + CLORZOXAZONA,DESDOL X20COM.REC.,MEDIPHARM,$7.899,55%,$3.555
978,PARACETAMOL + PSEUDOEFEDRINA,CORTIGRIP X10COM.,MEDIPHARM,$3.799,41%,$2.241
979,PARACETAMOL + TRAMADOL,ZALDIAR X20COM.REC.,GRUNENTHAL,$27.299,41%,$16.106
980,PARACETAMOL + TRAMADOL,CRONOTAN X30COM.,ITF (EX LABOMED),$14.999,56%,$6.600
981,PARACETAMOL + TRAMADOL,ZALEDOR P X30COM.REC.,MEDIPHARM,$13.699,61%,$5.343
982,PARACETAMOL + TRAMADOL,PARACETAMOL/TRAMADOL (B) 325/37.5mg X30C,LABORATORIO CHILE,$8.499,69%,$2.635
983,PARGEVERINA CLORHIDRATO,BEVITEX FTE.10mg/ml GTAS.X20ml,PRATER,$6.599,48%,$3.431
984,PARGEVERINA CLORHIDRATO,VIADIL 5mg/ml GTAS.X15ml,PHARMA INVESTI,$7.399,50%,$3.700
985,PAROXETINA,PAMAX (B) 20mg X30COM.REC.,SANITAS S.A.,$24.799,21%,$19.591
986,PAROXETINA,DEROXAT CR 25mg COMP.X30,ETEX FARMACEUTICA LTDA.,$37.099,24%,$28.195
987,PAROXETINA,SERETRAN (B) 20mg X30COM.,RECALCINE,$38.499,25%,$28.874
988,PAROXETINA,TRAVIATA (B) 20mg X30COM.REC.,ANDROMACO FARMA,$42.899,27%,$31.316
989,PAROXETINA,POSIVYL (B) 20mg X30COM.REC.,LABORATORIO CHILE,$39.899,32%,$27.131
990,PAROXETINA,AROTEX (B) 20mg X30COM.REC,RAFFO S.A.,$18.699,57%,$8.041
991,PASIFLORA + MELISA,MELIPASS CAPS.X60,KNOP,$5.299,24%,$4.027
992,PENICILINA G SODICA,PENICILINA G SOD 1000000UI X1F-A,OPKO,$899,53%,$423
993,PENICILINA G SODICA,PENICILINA G SOD 2000000UI X1F-A,OPKO,$1.199,64%,$432
994,PERICIAZINA,NEULEPTIL 40mg GTAS.20ml,SANOFI,$41.299,15%,$35.104
995,PERINDOPRIL+ AMLODIPINO,COVERAM 10/10 COM.X30,FERRER,$31.699,15%,$26.944
996,PERMETRINA,NOLAIS 1% SH.X120ml,MEDIPHARM,$3.999,32%,$2.719
997,PERMETRINA,KILNITS 1% SH.X100ml,ANDROMACO FARMA,$9.699,48%,$5.043
998,PIRACETAM,NOOTROPYL 800mg X30COM.REC.,GLAXO,$25.999,30%,$18.199
999,PIRIDOSTIGMINA BROMHIDRATO,MESTINON 60mg COMP.X100,DEUTSCHE PHARMA S.A.,$58.799,21%,$46.451
1000,POLIMIXINA B + NEOMICINA + BETAMETASONA + LIDOCAINA,OTOLISAN SOL.OT.X10ml,PHARMA INVESTI,$15.199,20%,$12.159
1001,POLIVITAMINICO,INFORTIN PROBIOTICOS X30COM.MAST.,PRATER,$12.099,13%,$10.526
1002,POLIVITAMINICO,BION 3 X30COM.REC.,PROCTER&GAMBLE (FARMA),$10.899,15%,$9.264
1003,POLIVITAMINICO,INFOR E X30CAP.BLANDAS,PRATER,$15.299,53%,$7.191
1004,POLIVITAMINICO,INFORTIN MASTIC COMP.X30,PRATER,$9.199,64%,$3.312
1005,POLIVITAMINICO CON MINERALES,BION 3 MINI X30COM.MASTICABLES,PROCTER&GAMBLE (FARMA),$12.099,12%,$10.647
1006,POLIVITAMINICO CON MINERALES,REGENESIS UP X30CAP.BDAS.,EXELTIS CHILE,$16.899,20%,$13.519
1007,POLIVITAMINICO CON MINERALES,INFOR PRO X30COM.,PRATER,$11.899,66%,$4.046
1008,POLIVITAMINICO PRENATAL,REGENESIS MAX X30CAP,EXELTIS CHILE,$15.999,20%,$12.799
1009,POLIVITAMINICO PRENATAL,NATICARE SUPRA X30CAP.,ITF (EX LABOMED),$15.499,52%,$7.440
1010,POLIVITAMINICOS C/GINSENG,REGENESIS NEXT X30CAP.,EXELTIS CHILE,$16.799,20%,$13.439
1011,POLIVITAMINICOS C/GINSENG,INFOR CAPS.X30,PRATER,$7.399,45%,$4.069
1012,POLOXAMER + POLIETILENGLICOL + CARBOMER,BLEPHAGEL DUO GEL OF.X40g,THEA PHARMA SPA,$24.699,30%,$17.289
1013,POTASIO CLORURO,CLORURO DE POTASIO 600mg 50COM.REC,BPH S.A,$13.699,55%,$6.165
1014,POTASIO GLUCONATO,POTASIO GLUCONATO 31.2% X200ml,LABORATORIO CHILE,$6.899,36%,$4.415
1015,PRAMIPEXOLE,INTAXEL ER (B) 1.5mg X30COM.PROL,LABORATORIO CHILE,$48.999,28%,$35.279
1016,PRAMIPEXOLE,SIFROL (R) 1mg X30COM.,BOEHRINGER INGELHEIM,$73.899,29%,$52.468
1017,PRAMIPEXOLE,INTAXEL ER (B) 0.375mg 30COM.P,LABORATORIO CHILE,$17.999,33%,$12.059
1018,PRAMIPEXOLE,SIFROL ER (R) 1.5mg X30COM.PROL.,BOEHRINGER INGELHEIM,$100.699,40%,$60.419
1019,PRAMIPEXOLE,SIFROL (R) 0.25mg X30COM.,BOEHRINGER INGELHEIM,$29.099,40%,$17.459
1020,PRAMIPEXOLE,BIOPSOL (B) 1mg X30COM.,RECALCINE,$47.999,60%,$19.200
1021,PREDNISOLONA ACETATO COLIRIO,SOPHIPREN OFTENO 1% SOF.X5ml,SOPHIA,$20.999,40%,$12.599
1022,PREDNISOLONA ACETATO COLIRIO,PREDNISOLONA 1% SOF.X5ml,PHARMATECH CHILE S.A.,$9.799,68%,$3.136
1023,PREDNISONA,CORTIPREX 1mg/ml S.O.X100ml,LABORATORIO CHILE,$13.199,20%,$10.559
1024,PREDNISONA,BERSEN (B) 20mg X20COM.,PASTEUR,$7.099,23%,$5.466
1025,PREDNISONA,PROCION (B) 20mg X20COM.,MEDIPHARM,$7.399,29%,$5.253
1026,PREDNISONA,CORTIPREX (B) 20mg X20COM.REC.,LABORATORIO CHILE,$8.099,36%,$5.183
1027,PREDNISONA,PROCION 20mg/5ml S.O.X60ml,MEDIPHARM,$7.899,38%,$4.897
1028,PREDNISONA,BERSEN 20mg/5ml S.O.X60ml,PASTEUR,$11.699,48%,$6.083
1029,PREDNISONA,CORTIPREX 20mg/5ml S.O.X60ml,LABORATORIO CHILE,$11.099,50%,$5.550
1030,PREDNISONA,PREDNISONA (B) 5mg X20COM.,LABORATORIO CHILE,$1.399,70%,$420
1031,PREGABALINA,PREGALEX (B) 75mg X30COM.,ANDROMACO FARMA,$20.099,15%,$17.084
1032,PREGABALINA,LYRICA (R) 75mg X28CAP.,PFIZER,$45.199,15%,$38.419
1033,PREGABALINA,PREGOBIN (B) 150mg X30CAP.,RECALCINE,$44.999,20%,$35.999
1034,PREGABALINA,PREGALEX (B) 150mg X30COM.,ANDROMACO FARMA,$45.299,24%,$34.427
1035,PREGABALINA,PRESTAT (B) 75mg X40COM.,BAGO,$11.699,30%,$8.189
1036,PREGABALINA,PRESTAT (B) 50mg X40COM.,BAGO,$9.499,34%,$6.269
1037,PREGABALINA,NEURUM (B) 75mg X30COM.,SAVAL S.A.,$11.999,43%,$6.839
1038,PREGABALINA,PLENITEX (B) 150mg X30CAP.,RAFFO S.A.,$22.999,48%,$11.959
1039,PREGABALINA,PREGABALINA (B) 75mg X30CAP.,ASCEND LABORATORIES SPA,$10.999,50%,$5.500
1040,PRIMIDONA,PRIMIDONA 250mg X50COM.,LABORATORIO CHILE,$9.799,30%,$6.859
1041,PROGESTERONA,GESTEL 200mg X30CAP.BLANDAS,EXELTIS CHILE,$20.799,20%,$16.639
1042,PROGESTERONA,PROGENDO 400mg X30CAP.BLANDAS,RECALCINE,$32.999,24%,$25.079
1043,PROGESTERONA,PROGENDO 200mg X30CAP.BLANDAS,RECALCINE,$22.999,25%,$17.249
1044,PROGESTERONA,PROGENDO 100mg X30CAP.BLANDAS,RECALCINE,$18.799,25%,$14.099
1045,PROGESTERONA,PROGEVA 200mg X30CAP.,ITF (EX LABOMED),$20.899,54%,$9.614
1046,PROPAFENONA,RITMOCOR (R) 300mg X40COM.REC,RECALCINE,$41.499,34%,$27.389
1047,PROPAFENONA,RITMOCOR (R) 150mg X40COM.REC,RECALCINE,$28.399,36%,$18.175
1048,PROPAFENONA,TUNTA (B) 300mg X30COM.REC,EUROFARMA CHILE S.A.,$30.999,48%,$16.119
1049,PROPANOLOL,PROPRANOLOL (B) 40mg X20COM.,HOSPIFARMA,$799,51%,$392
1050,PROPANOLOL,PROPRANOLOL (B) 10mg X20COM.,HOSPIFARMA,$1.299,61%,$507
1051,PROPARACAINA,ANESTALCON 0.5% SOF.X15ml,ALCON CHILE LTDA.OTC,$34.799,31%,$24.011
1052,PROPILENGLICOL,SYSTANE COMPLETE 0.6% OF X10ml,ALCON CHILE LTDA.OTC,$27.199,20%,$21.759
1053,PROPINOXATO,VIPLAN 5mg/ml GTAS.X20ml,MEDIPHARM,$6.099,25%,$4.574
1054,PRUCALOPRIDA SUCCINATO,PRUCALEX 2mg X30COM.,ANDROMACO FARMA,$44.999,25%,$33.749
1055,PRUCALOPRIDA SUCCINATO,PRUVAL 2mg X30COM.REC,SAVAL S.A.,$39.099,32%,$26.587
1056,PSEUDOEFEDRINA + CETIRIZINA,FINDALER-D X20CAP.,MEDIPHARM,$10.999,25%,$8.249
1057,PSEUDOEFEDRINA + CETIRIZINA,RIGOTAX-D X30CAP.LIB.PROL.,PRATER,$14.499,56%,$6.380
1058,PSYLLIUM (PLANTAGO OVATA),BILAXIL 400g,BAYER OTC,$31.399,34%,$20.723
1059,QUETIAPINA,QUETIDIN (B) 300mg X30COM.REC.,RECALCINE,$80.999,15%,$68.849
1060,QUETIAPINA,QUETIDIN (B) 200mg X30COM.REC.,RECALCINE,$65.499,15%,$55.674
1061,QUETIAPINA,SEROQUEL XR (R) 200mg X30COM.PROL,ASTRA ZENECA DE CHILE LTDA.,$90.299,15%,$76.754
1062,QUETIAPINA,SEROQUEL XR (R) 400mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$116.299,16%,$97.691
1063,QUETIAPINA,SEROQUEL (R) 100mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$90.099,19%,$72.980
1064,QUETIAPINA,SEROQUEL (R) 25mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$43.799,19%,$35.477
1065,QUETIAPINA,SEROQUEL XR (R) 50mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$84.099,21%,$66.438
1066,QUETIAPINA,QUETIDIN (B) 25mg X30COM.REC.,RECALCINE,$25.999,23%,$20.019
1067,QUETIAPINA,SEROQUEL (R) 200mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$130.599,25%,$97.949
1068,QUETIAPINA,SEROQUEL XR 150mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$84.699,25%,$63.524
1069,QUETIAPINA,QUETEX (B) 200mg X30COM.REC,EXELTIS CHILE,$42.799,25%,$32.099
1070,QUETIAPINA,QUETEX XR (B) 150mg X30COM.REC,EXELTIS CHILE,$45.199,25%,$33.899
1071,QUETIAPINA,QUETEX XR (B) 50mg X30COM.REC,EXELTIS CHILE,$35.099,25%,$26.324
1072,QUETIAPINA,QUETIUM (B) 300mg X30COM.REC.,SAVAL S.A.,$38.899,25%,$29.174
1073,QUETIAPINA,QUETIDIN (B) 100mg X30COM.REC.,RECALCINE,$43.499,29%,$30.884
1074,QUETIAPINA,QUETIDIN XR 200mg X30COM.REC.,RECALCINE,$55.999,30%,$39.199
1075,QUETIAPINA,QUETIDIN XR 50mg X30COM.REC.,RECALCINE,$39.499,30%,$27.649
1076,QUETIAPINA,QUETIDIN XR 150mg X30COM.,RECALCINE,$47.999,30%,$33.599
1077,QUETIAPINA,ASICOT (B) 100mg X30COM.REC.,LABORATORIO CHILE,$23.599,35%,$15.339
1078,QUETIAPINA,ASICOT (B) 200mg X30COM.REC,LABORATORIO CHILE,$47.699,35%,$31.004
1079,QUETIAPINA,ASICOT (B) 25mg X30COM.REC,LABORATORIO CHILE,$17.399,35%,$11.309
1080,QUETIAPINA,QUETIAPINA (B) 25mg X30COM.REC,LABORATORIO CHILE,$7.999,35%,$5.199
1081,QUETIAPINA,QURAX XR (B) 300mg X30COM.PROL,PHARMA INVESTI,$38.999,37%,$24.569
1082,QUETIAPINA,SEROQUEL XR (R) 300mg X30COM.PROL,ASTRA ZENECA DE CHILE LTDA.,$100.999,50%,$50.500
1083,QUETIAPINA,EUFRENIM (B) 100mg X30COM.REC.,NOVARTIS CHILE S.A.,$21.599,50%,$10.800
1084,QUETIAPINA,GOFYL (B) 200mg X30COM.REC.,AXON PHARMA,$30.599,52%,$14.688
1085,QUETIAPINA,QURAX XR (B) 50mg X30COM.PROL,PHARMA INVESTI,$20.999,53%,$9.870
1086,QUETIAPINA,QURAX XR (B) 150mg X30COM.PROL,PHARMA INVESTI,$29.799,53%,$14.006
1087,QUETIAPINA,GOFYL (B) 100mg X30COM.REC.,AXON PHARMA,$15.799,62%,$6.004
1088,QUETIAPINA,GOFYL (B) 25mg X30COM.REC.,AXON PHARMA,$13.099,65%,$4.585
1089,QUETIAPINA,QUETIAPINA (B) 100mg X30COM.REC,LABORATORIO CHILE,$10.899,66%,$3.706
1090,RIFAXIMA,NORMIX 200mg X12COM.REC.,ANDROMACO FARMA,$15.499,18%,$12.709
1091,RIFAXIMA,RIBOLAC 200mg X10COM.,RECALCINE,$10.999,20%,$8.799
1092,RIFAXIMA,NORMIX 200mg X24COM.REC.,ANDROMACO FARMA,$37.299,28%,$26.855
1093,RISPERIDONA,(B) RISPYL 2mg COMP.X20,AXON PHARMA,$17.999,15%,$15.299
1094,RISPERIDONA,GOVAL (B) 1mg X30COM.REC.,PHARMA INVESTI,$18.499,20%,$14.799
1095,RISPERIDONA,SPIRON 1mg/ml GTAS.X30ml,ANDROMACO FARMA,$26.499,25%,$19.874
1096,RISPERIDONA,RADIGEN (B) 1mg/ml GTAS.X30ml,MEDIPHARM,$17.799,25%,$13.349
1097,RISPERIDONA,SPIRON (B) 1mg X30COM.REC.,ANDROMACO FARMA,$30.499,35%,$19.824
1098,RISPERIDONA,RISPYL (B) 3mg X20COM.,AXON PHARMA,$18.999,45%,$10.449
1099,RISPERIDONA,DAGOTIL 1mg/ml GTAS.X30ml,PHARMA INVESTI,$24.999,47%,$13.249
1100,RISPERIDONA,DAGOTIL (B) 1mg X30COM.REC.,PHARMA INVESTI,$21.699,52%,$10.416
1101,RISPERIDONA,DAGOTIL (B) 3mg X30COM.REC,PHARMA INVESTI,$24.999,60%,$10.000
1102,RIVAROXABAN,XARELTO 10mg COMP.X10,BAYER ETICO,$44.999,19%,$36.449
1103,RIVAROXABAN,TROMBEX (B) 15mg X28COM.REC.,ITF (EX LABOMED),$55.999,23%,$43.119
1104,RIVAROXABAN,TROMBEX (B) 20mg X28COM.REC,ITF (EX LABOMED),$55.999,28%,$40.319
1105,RIVAROXABAN,XARELTO 15mg X28COM.REC.,BAYER ETICO,$70.799,30%,$49.559
1106,RIVAROXABAN,XARELTO 20mg X28COM.REC.,BAYER ETICO,$76.899,30%,$53.829
1107,RIVASTIGMINA,EXELON (R) 1.5mg X28CAP.,AXON PHARMA,$81.299,15%,$69.104
1108,RIVASTIGMINA,EXELON (R) 3mg X28CAP.,AXON PHARMA,$76.799,15%,$65.279
1109,RIVASTIGMINA,EXELON (R) 4.5mg X28CAP.,AXON PHARMA,$80.699,15%,$68.594
1110,RIVASTIGMINA,EXELON (R) 6mg X28CAP.,AXON PHARMA,$79.999,15%,$67.999
1111,RIVASTIGMINA,EXELON 5 X30PCHE.,AXON PHARMA,$108.899,20%,$87.119
1112,RIVASTIGMINA,EXELON 10 X30PCHE.,AXON PHARMA,$111.399,22%,$86.891
1113,RIVASTIGMINA,EXELON 15 X30PCHE.,AXON PHARMA,$111.399,22%,$86.891
1114,ROSUVASTATINA,CRESTOR TABLETS (R) 20mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$61.999,15%,$52.699
1115,ROSUVASTATINA,CRESTOR TABLETS (R) 10mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$42.599,20%,$34.079
1116,ROSUVASTATINA,ROSVEL 10mg X60COM.REC.,LABORATORIO CHILE,$15.099,21%,$11.928
1117,ROSUVASTATINA,CRESTOR TABLETS (R) 40mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$83.399,24%,$63.383
1118,ROSUVASTATINA,ROSVEL 10mg X30COM.REC.,LABORATORIO CHILE,$11.699,30%,$8.189
1119,ROSUVASTATINA,ROSVEL 20mg X30COM.REC.,LABORATORIO CHILE,$15.299,30%,$10.709
1120,ROSUVASTATINA,RUX (B) 20mg COMP.X30,SAVAL S.A.,$33.399,33%,$22.377
1121,ROSUVASTATINA,RUX (B) 10mg COMP.X30,SAVAL S.A.,$21.299,34%,$14.057
1122,ROSUVASTATINA,ROVARTAL 10mg X30COM.REC.,PHARMA INVESTI,$20.099,39%,$12.260
1123,ROSUVASTATINA,CRESADEX 10mg X30COM.REC.,RECALCINE,$26.999,40%,$16.199
1124,ROSUVASTATINA,CRESADEX 20mg X30COM.REC.,RECALCINE,$36.999,40%,$22.199
1125,ROSUVASTATINA,ROVARTAL 20mg X30COM.REC.,PHARMA INVESTI,$28.699,40%,$17.219
1126,RUPATADINA,REAX 10mg X30COM.,RECALCINE,$11.499,25%,$8.624
1127,RUPATADINA,REXANEL 10mg X30COM.,PRATER,$12.599,25%,$9.449
1128,SACHAROMYCES BOULARDII,VINTIX 250mg X10CAP.,PHARMA INVESTI,$9.999,32%,$6.799
1129,SALBUTAMOL INHALACION,BROPIL LF 100mcg INH.X200DS.,RECALCINE,$8.999,20%,$7.199
1130,SALBUTAMOL INHALACION,SALBUTAMOL 100mcg INH.X200DS.,OPKO,$2.999,51%,$1.470
1131,SALBUTAMOL INHALACION,BUTOTAL 100mcg INH.X250DS,D&M PHARMA S.A.,$4.099,77%,$943
1132,SALMETEROL,SEREVENT LF 25mcg 120DS.,GLAXO,$47.499,15%,$40.374
1133,SALMETEROL + FLUTICASONA,BREXOTIDE LF 250/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,$53.999,12%,$47.519
1134,SALMETEROL + FLUTICASONA,AURITUSS 25/125 AER.INH.X120DS.,RECALCINE,$30.499,15%,$25.924
1135,SALMETEROL + FLUTICASONA,AURITUSS 25/250 AER.INH.X120DS.,RECALCINE,$36.499,19%,$29.564
1136,SALMETEROL + FLUTICASONA,SERETIDE LF 250/25 CD X120DS.,GLAXO,$69.699,28%,$50.183
1137,SALMETEROL + FLUTICASONA,BROMEX SF 25/250 AER.X120DS.,LABORATORIO CHILE,$43.899,30%,$30.729
1138,SALMETEROL + FLUTICASONA,SERETIDE LF 125/25 CD X120DS.,GLAXO,$70.399,31%,$48.575
1139,SALMETEROL + FLUTICASONA,FLUXAMOL HFA 250/25 INH.X120DS.,D&M PHARMA S.A.,$29.399,31%,$20.285
1140,SALMETEROL + FLUTICASONA,BREXOTIDE LF 125/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,$51.099,60%,$20.440
1141,SAXAGLIPTINA + METFORMINA,KOMBIGLYZE XR 5/1000 X28COM.,ASTRA ZENECA DE CHILE LTDA.,$50.799,30%,$35.559
1142,SAXAGLIPTINA + METFORMINA,KOMBIGLYZE XR 2.5/1000 X56COM.,ASTRA ZENECA DE CHILE LTDA.,$53.499,30%,$37.449
1143,SERTRALINA,SERONEX (B) 50mg X30COM.REC.,EXELTIS CHILE,$20.299,15%,$17.254
1144,SERTRALINA,(R) ALTRULINE 100mg COMP.X30,PFIZER,$80.099,18%,$65.681
1145,SERTRALINA,SERONEX (B) 100mg X30COM.REC.,EXELTIS CHILE,$26.599,24%,$20.215
1146,SERTRALINA,SERTAC (B) 100mg X30COM.REC.,ANDROMACO FARMA,$24.499,39%,$14.944
1147,SERTRALINA,SERTAC (B) 50mg X30COM.REC.,ANDROMACO FARMA,$23.499,43%,$13.394
1148,SERTRALINA,SERTRALINA (B) 100mg X30COM.,LABORATORIO CHILE,$7.099,69%,$2.201
1149,SERTRALINA,SERTRALINA (B) 50mg X30COM.,LABORATORIO CHILE,$2.799,77%,$644
1150,SILDENAFIL,DIRTOP (B) 50mg X20COM.REC.,MEDIPHARM,$15.799,35%,$10.269
1151,SILDENAFIL,DIRTOP (B) 100mg X5COM.REC.,MEDIPHARM,$12.399,47%,$6.571
1152,SILDENAFIL,DIRTOP (B) 50mg X5COM.REC.,MEDIPHARM,$6.199,50%,$3.100
1153,SILDENAFIL,DISILDEN (B) 100mg X3COM.,PHARMAPRECIO,$2.599,58%,$1.092
1154,SILDENAFIL,DIRTOP (B) 50mg X10COM.REC.,MEDIPHARM,$12.199,59%,$5.002
1155,SILDENAFIL,DIRTOP (B) 50mg X1COM.REC.,MEDIPHARM,$1.499,76%,$360
1156,SIMETICONA,FLAPEX 4% GTAS.X15ml,ANDROMACO FARMA,$14.699,20%,$11.759
1157,SIMETICONA,FLAPEX E X10CAP.,ANDROMACO FARMA,$5.399,20%,$4.319
1158,SIMVASTATINA + EZETIMIBA,VYTORIN 10/20 COMP.X28,MSD- ORGANON,$51.299,30%,$35.909
1159,SIMVASTATINA + EZETIMIBA,ZETIROL (B) 10/20 X28COM.,ASCEND LABORATORIES SPA,$41.999,37%,$26.459
1160,SITAGLIPTINA,JANUVIA 100mg COMP.X28,MERCK SHARP&DOME,$51.899,27%,$37.886
1161,SITAGLIPTINA + METFORMINA,JANUMET XR 100/1000 COMP.X28,MERCK SHARP&DOME,$60.899,30%,$42.629
1162,SITAGLIPTINA + METFORMINA,JANUMET 50/850 X28COM.REC.,MERCK SHARP&DOME,$33.999,34%,$22.439
1163,SITAGLIPTINA + METFORMINA,JANUMET 50/1000 X28COM.REC.,MERCK SHARP&DOME,$34.599,37%,$21.797
1164,SITAGLIPTINA + METFORMINA,JANUMET 50/500 X28COM.REC.,MERCK SHARP&DOME,$33.999,38%,$21.079
1165,SODIO BICARBONATO,BICARBONATO DE SODIO X 200 GR.,RECETARIO,$1.999,65%,$700
