,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio julio 2020,Descuento,Precio referencial con Descuento julio 2020
951,VENLAFAXINA,SENEXON SR 75mg X30COM.PROL.,RECALCINE,$32.999,25%,$24.749
952,VENLAFAXINA,SENTIDOL 50 mg. x 30 comprimidos,MEDIPHARM,$15.699,25%,$11.774
953,VENLAFAXINA,SENTIDOL 75 mg. x 30 comprimidos,MEDIPHARM,$18.199,34%,$12.011
954,VENLAFAXINA,SUBELAN XR (B) 150mg X30CAP.PROL.,EXELTIS CHILE,$44.999,20%,$35.999
955,VENLAFAXINA,SUBELAN XR (B) 37.5mg X30CAP.PROL.,EXELTIS CHILE,$26.499,20%,$21.199
956,VENLAFAXINA,SUBELAN XR (B) 75mg X30CAP.PROL.,EXELTIS CHILE,$30.999,90%,$3.100
957,VILANTEROL + FLUTICASONA,RELVAR 184/22mcg INH.X30DS.,GLAXO,$61.499,57%,$26.445
958,VILANTEROL + FLUTICASONA,RELVAR 92/22mcg INH.X30DS.,GLAXO,$58.799,55%,$26.460
959,VILDAGLIPTINA,GALVUS 50mg X28COM.,AXON PHARMA,$27.099,61%,$10.569
960,VILDAGLIPTINA,GALVUS 50mg X56COM.,AXON PHARMA,$44.199,20%,$35.359
961,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/1000 X28COM.REC.,AXON PHARMA,$28.099,20%,$22.479
962,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/1000 X56COM.REC.,AXON PHARMA,$52.599,20%,$42.079
963,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/500 X28COM.REC.,AXON PHARMA,$25.999,55%,$11.700
964,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/500 X56COM.REC.,AXON PHARMA,$47.899,20%,$38.319
965,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/850 X28COM.REC.,AXON PHARMA,$33.299,65%,$11.655
966,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/850 X56COM.REC.,AXON PHARMA,$47.899,20%,$38.319
967,VIT.A + VIT.C + VIT.D,ABECIDIN ACD GTAS.30ml,PASTEUR,$7.299,20%,$5.839
968,VIT.A + VIT.C + VIT.D,BION 3 MINI COMP.X30,PROCTER&GAMBLE (FARMA),$10.099,13%,$8.786
969,VIT.A + VIT.C + VIT.D,VITAMINA ACD GTAS.X30ml,LABORATORIO CHILE,$4.599,78%,$1.012
970,VIT.B1 + VIT.B6 + VIT.B12,VITAMINA B1 B6 B12 10000 X3AMP.,ByB FARMACEUTICA,$3.199,78%,$704
971,VITAMINA C (ACIDO ASCORBICO),ACIDO ASCORBICO 100mg X100COM.,ByB FARMACEUTICA,$1.199,54%,$552
972,VITAMINA C (ACIDO ASCORBICO),MI VIT C 1000mg. X 10 COMPR.EFERV.,MEDIPHARM,$3.099,33%,$2.076
973,VITAMINA C (ACIDO ASCORBICO),MIVIT C FRUT.ROJOS 100mg X100COM.MAST.,MEDIPHARM,$1.790,64%,$644
974,VITAMINA C (ACIDO ASCORBICO),MIVIT C SABOR 500mg X30COM.MAST.,MEDIPHARM,$2.799,70%,$840
975,VORTIOXETINA,BRINTELLIX 10mg X14COM.,LUNDBECK,$26.599,5%,$25.269
976,VORTIOXETINA,BRINTELLIX 10mg X28COM.,LUNDBECK,$56.699,5%,$53.864
977,ZINC,NUM-ZIT 10mg COMP.X30,ANDROMACO FARMA,$11.899,30%,$8.329
978,ZINC,NUM-ZIT 15mg COMP.X30,ANDROMACO FARMA,$10.899,30%,$7.629
979,ZINC,NUM-ZIT 5 GTAS.25ml,ANDROMACO FARMA,$11.899,30%,$8.329
980,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.100g,ANDROMACO FARMA,$6.899,20%,$5.519
981,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.20g,ANDROMACO FARMA,$3.899,20%,$3.119
982,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.60g,ANDROMACO FARMA,$5.299,20%,$4.239
983,ZINC OXIDO + VIT.A + VIT.D + ALCOHOL PANTOTENILICO + BENZALCONIO CLORURO,POVIN PDA.20g,ANDROMACO FARMA,$3.399,20%,$2.719
984,ZOLPIDEM,DAMIXAN TABL.RECUBIE 10 MG X 30,MEDIPHARM,$18.499,33%,$12.394
985,ZOLPIDEM,UPTOYOU (B) 10mg X30COM.REC.,EXELTIS CHILE,$20.999,20%,$16.799
986,ZOPICLONA,"LOSOPIL 7,5 mg. x 30 comprimidos",MEDIPHARM,$5.499,25%,$4.124
987,ZOPICLONA,ZOPICLONA (B) 7.5mg X30COM.REC,HOSPIFARMA,$3.299,87%,$429
988,IPRATROPIO BROMURO,INFLUMIX 20mcg INH.X200DS.,RECALCINE,$13.999,64%,$5.040
989,ALENDRONATO,LEODRIN (B) 70mg X12COM.REC.,RECALCINE,$22.999,88%,$2.760
990,CINTAS REACTIVAS PARA GLICEMIA,ACCU CHEK INSTANT CINT.25,ROCHE DIAGNOSTICA,$19.999,30%,$13.999
991,CINTAS REACTIVAS PARA GLICEMIA,ACCU CHEK INSTANT CINT.50,ROCHE DIAGNOSTICA,$38.199,30%,$26.739
992,CLOPIDROGEL,(B) CLOPIDOGREL 75mg COMP.X30,LABORATORIO CHILE,$12.999,25%,$9.749
993,BACLOFENO,CETRIL 10mg X50COM.,PHARMA INVESTI,$28.999,20%,$23.199
994,VALSARTAN,VALAX (B) 160mg X30COM.REC.,SAVAL S.A.,$15.899,25%,$11.924
995,MICOFENOLATO MOFETIL,MICOFENOLATO (B) 500mg X50COM.,LABORATORIO CHILE,$34.599,18%,$28.371
996,AMOXICILINA + ESOMEPRAZOL + CLARITROMICI,ZOMEL HP DOSIS X28,SAVAL S.A.,$43.699,32%,$29.833
997,CLONIXINATO DE LISINA + VITAMINAS B1-B6-B12,NEFERSIL-B COMP.X10,PHARMA INVESTI,$9.999,25%,$7.499
998,DIFENIDOL,VERTIUM 25mg COMP.X40,SAVAL S.A.,$18.299,44%,$10.168
999,ESTRADIOL + TRIMEGESTONA,TOTELLE CICLICO 1mg GRAG.X28,PFIZER,$34.899,20%,$27.919
1000,IBUPROFENO + DIPIRONA + CLORMEZANONA,DOLNIX COMP.X10,RECALCINE,$16.499,49%,$8.373
1001,IRBESARTAN + HIDROCLOROTIAZIDA,"COAPROVEL 150/12,5 COMP.X28",AVENTIS,$38.899,41%,$23.113
1002,IRBESARTAN + HIDROCLOROTIAZIDA,"COAPROVEL 300/12,5 COMP.X28",AVENTIS,$43.299,46%,$23.268
1003,LACTOBACILLUS ACIDOPHILUS,BIOLACTUS 1g SOB.X6,SYNTHON,$9.999,30%,$6.999
1004,LAMIVUDINA+ZIDOVUDINA,(R) COMBIVIR COMP.X60,GLAXO,$99.499,30%,$69.649
1005,LEVODOPA + BENZERAZIDA,PROLOPA 200/50 COMP.X30,ROCHE,$28.299,35%,$18.394
1006,MINOCICLINA,BAGOMICINA 100mg COMP.X15,BAGO,$23.999,30%,$16.799
1007,RISPERIDONA,DAGOTIL 1mg/ml GTAS.X30ml,PHARMA INVESTI,$28.399,45%,$15.619
1008,VENLAFAXINA,DEPUROL RET.(B) 150mg X30CAP.,PHARMA INVESTI,$70.799,38%,$43.895
1009,RISPERIDONA,DAGOTIL (B) 1mg X30COM.REC.,PHARMA INVESTI,$20.599,25%,$15.449
1010,LEVOTIROXINA,T4-BAGO (B) 100mcg X100COM.FLEXIDOSIS,BAGO,$10.999,29%,$7.809
1011,PAROXETINA,AROTEX (B) 20mg X30COM.REC,RAFFO S.A.,$18.699,30%,$13.089
1012,SALMETEROL + FLUTICASONA,FLUXAMOL HFA 250/25 INH.X120DS.,D&M PHARMA S.A.,$27.999,30%,$19.599
1013,MIRTAZAPINA,PROMYRTIL (R) 30mg X30COM.,MERCK SHARP&DOME,$52.399,30%,$36.679
1014,OLANZAPINA,OLIVIN 10mg X30COM.REC.,PHARMA INVESTI,$69.599,30%,$48.719
1015,SALMETEROL + FLUTICASONA,FLUXAMOL HFA 250/25 INH.X120DS.,D&M PHARMA S.A.,$27.999,30%,$19.599
1016,BUPROPION,BUPREDOL 150mg X60COM.REC,SANITAS S.A.,$26.499,35%,$17.224
