,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio enero 2021,Descuento,Precio referencial con convenio enero 2021
947,TINIDAZOL + MICONAZOL,GINEDAZOL OVUL.X10,LABORATORIO CHILE,$23.499,30%,$16.449
948,TIOTROPIO BROMURO,SPIRIVA RESPIMAT 2.5mcg INH.X30DS,BOEHRINGER INGELHEIM,$65.899,47%,$34.926
949,TIZANIDINA,SIRDALUD 2mg X12COM.,NOVARTIS CHILE S.A.,$15.499,20%,$12.399
950,TOLTERODINA,DETRUSITOL SR 4mg X30COM.REC.,PFIZER,$44.299,28%,$31.895
951,TOLTERODINA,UROSTOP (B) 2mg X30COM.,SYNTHON,$16.999,25%,$12.749
952,TOLTERODINA,ELTOVEN 2 2mg COMP.X30,PHARMA INVESTI,$22.099,16%,$18.563
953,TOPIRAMATO,AMATO 25mg COM.X60,EUROFARMA CHILE S.A.,$21.499,30%,$15.049
954,TOPIRAMATO,AMATO(BE) 50mg COM.X60,EUROFARMA CHILE S.A.,$32.999,30%,$23.099
955,TOPIRAMATO,TOPICTAL (B) 100mg X28COM.REC.,TECNOFARMA LTDA.,$48.099,30%,$33.669
956,TOPIRAMATO,TOPICTAL 25mg X28COM.REC.,TECNOFARMA LTDA.,$22.899,20%,$18.319
957,TOPIRAMATO,TOPICTAL 50mg X28COM.REC.,TECNOFARMA LTDA.,$30.499,30%,$21.349
958,TOPIRAMATO,TOPREL 100mg X30COM.REC.,RECALCINE,$61.499,35%,$39.974
959,TOPIRAMATO,TOPREL 25mg X30COM.REC.,RECALCINE,$24.499,72%,$6.860
960,TOPIRAMATO,TOPREL 50mg X30COM.REC.,RECALCINE,$39.999,21%,$31.599
961,TOPIRAMATO,BIO MOOD (B) 25mg X30COM.,SAVAL S.A.,$17.599,30%,$12.319
962,TOPIRAMATO,BIO MOOD (B) 100mg X30COM.,SAVAL S.A.,$45.399,30%,$31.779
963,TRAMADOL,ANALGEX 100mg/ml GTAS.X20ml,RECALCINE,$12.999,95%,$650
964,TRAMADOL,TRAMADOL 100mg GTAS.X10ml,LABORATORIO CHILE,$4.099,70%,$1.230
965,TRAMADOL,TRAMADOL 50mg X10CAP.,SANITAS S.A.,$2.499,30%,$1.749
966,TRAMADOL,TRAMAL 100mg/ml GTAS.X10ml,GRUNENTHAL,$23.299,44%,$13.047
967,TRAMADOL,TRAMAL LONG 100mg X10COM.,GRUNENTHAL,$30.599,76%,$7.344
968,TRAMADOL,TRAMAL LONG 50mg X20COM.PROL.,GRUNENTHAL,$25.299,67%,$8.349
969,TRAMADOL,ZALEDOR 100mg. GOTAS 10 ml.,MEDIPHARM,$9.199,70%,$2.760
970,TRAZODONA,TRITTICO 100mg X20COM.,LABORATORIO CHILE,$30.599,35%,$19.889
971,TRAZODONA,TRITTICO 25mg X20CAP.,LABORATORIO CHILE,$23.999,47%,$12.719
972,TRAZODONA,TRITTICO AC 150mg X20COM.PROL.,LABORATORIO CHILE,$52.999,43%,$30.209
973,TRAZODONA,TRONSALAN 100mg X20COM.REC.,MEDIPHARM,$15.799,57%,$6.794
974,TRIBENOSIDO + LIDOCAINA,GESIPROCT X 30 GR.,MEDIPHARM,$10.399,25%,$7.799
975,TRICLOSAN,SANIGERMIN 1% JB.X90g,SANITAS S.A.,$1.599,36%,$1.023
976,TRICLOSAN,LAVASEPT 1% JB.X90g,FARMOQUIMICA DEL PACIFICO,$2.099,41%,$1.238
977,TRIHEXIFENIDILO,TONARIL 2mg X100COM.,LABORATORIO CHILE,$22.999,80%,$4.600
978,TRIMEBUTINO,TRIMEBUTINO (B) 100mg X20COM.,ANDROMACO FARMA,$1.799,75%,$450
979,VALSARTAN,VERALPRES(BE) 160mg COMP.X30,EUROFARMA CHILE S.A.,$12.999,23%,$10.009
980,VALSARTAN,TAREG (R) 160mg X28COM.REC.,AXON PHARMA,$37.299,30%,$26.109
981,VALSARTAN,TAREG (R) 160mg X56COM.REC.,AXON PHARMA,$62.399,21%,$49.295
982,VALSARTAN,TAREG (R) 320mg X28COM.REC.,AXON PHARMA,$38.699,30%,$27.089
983,VALSARTAN,TAREG (R) 80mg X28COM.REC.,AXON PHARMA,$42.799,27%,$31.243
984,VALSARTAN,TAREG (R) 80mg X56COM.REC.,AXON PHARMA,$61.299,30%,$42.909
985,VALSARTAN,(B) VALAPLEX 160mg COMP.X30,LABORATORIO CHILE,$16.899,35%,$10.984
986,VALSARTAN,(B) VALAPLEX 320mg COM.X30,LABORATORIO CHILE,$16.899,35%,$10.984
987,VALSARTAN,(B) VALAPLEX 80mg COMP.X30,LABORATORIO CHILE,$16.899,35%,$10.984
988,VALSARTAN,VALAX (B) 160mg X30COM.REC.,SAVAL S.A.,$15.899,25%,$11.924
989,VALSARTAN,(B) DOSARA 160mg COMP.X30,ANDROMACO FARMA,$15.399,21%,$12.165
990,VALSARTAN,(B) DOSARA 80mg COMP.X30,ANDROMACO FARMA,$14.399,22%,$11.231
991,VALSARTAN,VALAX (B) 320mg 30COM.REC,SAVAL S.A.,$14.699,21%,$11.612
992,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/12.5 X28COM.REC.,AXON PHARMA,$48.799,30%,$34.159
993,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/12.5 X56COM.REC.,AXON PHARMA,$70.499,28%,$50.759
994,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/25 X28COM.REC.,AXON PHARMA,$37.599,30%,$26.319
995,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/25 X56COM.REC.,AXON PHARMA,$59.499,30%,$41.649
996,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/12.5 X28COM.REC.,AXON PHARMA,$38.799,30%,$27.159
997,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/12.5 X56COM.REC.,AXON PHARMA,$65.999,24%,$50.159
998,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/25 X28COM.REC.,AXON PHARMA,$36.599,30%,$25.619
999,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 80/12.5 X28COM.REC.,AXON PHARMA,$45.499,29%,$32.304
1000,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 80/12.5 X56COM.REC,AXON PHARMA,$70.799,28%,$50.975
1001,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D 160/12.5MG 30CR,LABORATORIO CHILE,$16.899,35%,$10.984
1002,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D 80/12.5MG 30CR,LABORATORIO CHILE,$16.899,35%,$10.984
1003,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D FTE 160/25MG 30CR,LABORATORIO CHILE,$16.899,35%,$10.984
1004,VALSARTAN + HIDROCLOROTIAZIDA,VALAX D 320/25 X30COM.REC,SAVAL S.A.,$14.699,30%,$10.289
1005,VALSARTAN + HIDROCLOROTIAZIDA,VALAX D 160/12.5 X30COM.REC.,SAVAL S.A.,$14.999,22%,$11.699
1006,VASELINA LIQUIDA MEDICINAL,VASELINA MEDICINAL X120ml,LABORATORIO CHILE,$1.499,26%,$1.109
1007,VASELINA LIQUIDA MEDICINAL,VASELINA LIQUIDA ORAL X125ml,MEDCELL ACCESORIOS,$2.099,26%,$1.553
1008,VENLAFAXINA,ECTIEN XR 150 MG X 30 CAPSULAS,LABORATORIO CHILE,$41.999,30%,$29.399
1009,VENLAFAXINA,ECTIEN XR 37.5 MG X 30 CAPSULAS,LABORATORIO CHILE,$16.499,34%,$10.889
1010,VENLAFAXINA,ECTIEN XR 75 MG X 30 CAPSULAS,LABORATORIO CHILE,$21.499,55%,$9.675
1011,VENLAFAXINA,EFEXOR XR (R) 75mg X30CAP.,PFIZER,$62.099,45%,$34.154
1012,VENLAFAXINA,SENEXON SR 150mg X30COM.PROL.,RECALCINE,$62.499,31%,$43.124
1013,VENLAFAXINA,SENEXON SR 37.5mg X30COM.REC.,RECALCINE,$25.799,20%,$20.639
1014,VENLAFAXINA,SENEXON SR 75mg X30COM.PROL.,RECALCINE,$32.999,25%,$24.749
1015,VENLAFAXINA,SENTIDOL 50 mg. x 30 comprimidos,MEDIPHARM,$15.699,25%,$11.774
1016,VENLAFAXINA,SUBELAN XR (B) 150mg X30CAP.PROL.,EXELTIS CHILE,$44.999,20%,$35.999
1017,VENLAFAXINA,SUBELAN XR (B) 37.5mg X30CAP.PROL.,EXELTIS CHILE,$26.499,20%,$21.199
1018,VENLAFAXINA,SUBELAN XR (B) 75mg X30CAP.PROL.,EXELTIS CHILE,$30.999,90%,$3.100
1019,VENLAFAXINA,DEPUROL RET.(B) 150mg X30CAP.,PHARMA INVESTI,$70.799,38%,$43.895
1020,VENLAFAXINA,(R) EFEXOR XR 150mg CAPS.X30,PFIZER,$105.099,12%,$92.487
1021,VENLAFAXINA,DEPUROL RET.37.5mg CAPS.X30,PHARMA INVESTI,$32.499,20%,$25.999
1022,VILANTEROL + FLUTICASONA,RELVAR 184/22mcg INH.X30DS.,GLAXO,$64.099,57%,$27.563
1023,VILANTEROL + FLUTICASONA,RELVAR 92/22mcg INH.X30DS.,GLAXO,$61.299,55%,$27.585
1024,VILDAGLIPTINA,GALVUS 50mg X28COM.,AXON PHARMA,$27.999,61%,$10.920
1025,VILDAGLIPTINA,GALVUS 50mg X56COM.,AXON PHARMA,$45.599,20%,$36.479
1026,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/1000 X28COM.REC.,AXON PHARMA,$28.999,20%,$23.199
1027,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/1000 X56COM.REC.,AXON PHARMA,$54.199,20%,$43.359
1028,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/500 X28COM.REC.,AXON PHARMA,$26.799,55%,$12.060
1029,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/500 X56COM.REC.,AXON PHARMA,$49.399,20%,$39.519
1030,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/850 X28COM.REC.,AXON PHARMA,$34.299,65%,$12.005
1031,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/850 X56COM.REC.,AXON PHARMA,$49.399,20%,$39.519
1032,VIT.A + VIT.C + VIT.D,ABECIDIN ACD GTAS.30ml,PASTEUR,$7.299,20%,$5.839
1033,VIT.A + VIT.C + VIT.D,BION 3 MINI COMP.X30,PROCTER&GAMBLE (FARMA),$10.099,12%,$8.887
1034,VIT.A + VIT.C + VIT.D,VITAMINA ACD GTAS.X30ml,LABORATORIO CHILE,$4.599,78%,$1.012
1035,VIT.A + VIT.C + VIT.D,INFORTIN ACD GTAS.X30ml,PRATER,$8.399,20%,$6.719
1036,VIT.B1 + VIT.B6 + VIT.B12,NEUROBION DC (B) 10000UI/3ml X3AMP.,PROCTER&GAMBLE (FARMA),$15.799,18%,$12.955
1037,VITAMINA C (ACIDO ASCORBICO),ACIDO ASCORBICO 100mg X100COM.,ByB FARMACEUTICA,$1.199,54%,$552
1038,VITAMINA C + PROBIOTICOS,CREVET LIGHT 500mg X32COM.MAST.,PRATER,$3.399,40%,$2.039
1039,VORTIOXETINA,BRINTELLIX 10mg X28COM.,LUNDBECK,$56.699,5%,$53.864
1040,ZINC,NUM-ZIT 10mg COMP.X30,ANDROMACO FARMA,$12.299,30%,$8.609
1041,ZINC,NUM-ZIT 15mg COMP.X30,ANDROMACO FARMA,$11.299,30%,$7.909
1042,ZINC,NUM-ZIT 5 GTAS.25ml,ANDROMACO FARMA,$12.299,30%,$8.609
1043,ZINC,ALTAZINC 10mg X40COM.,SAVAL S.A.,$18.699,30%,$13.089
1044,ZINC,ALTAZINC 15mg X40COM.,SAVAL S.A.,$17.699,30%,$12.389
1045,ZINC,ALTAZINC 5mg/ml GTAS.X30ml,SAVAL S.A.,$20.399,30%,$14.279
1046,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.100g,ANDROMACO FARMA,$7.499,20%,$5.999
1047,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.20g,ANDROMACO FARMA,$3.999,20%,$3.199
1048,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.60g,ANDROMACO FARMA,$5.499,20%,$4.399
1049,ZINC OXIDO + VIT.A + VIT.D + ALCOHOL PANTOTENILICO + BENZALCONIO CLORURO,POVIN PDA.20g,ANDROMACO FARMA,$3.399,20%,$2.719
1050,ZOLPIDEM,(B) SOMNIL 10mg COMP.X30,TECNOFARMA LTDA.,$21.499,17%,$17.844
1051,ZOLPIDEM,(B) SUCEDAL 10mg COMP.X30,PHARMA INVESTI,$28.399,20%,$22.719
1052,ZOPICLONA,"LOSOPIL 7,5 mg. x 30 comprimidos",MEDIPHARM,$5.499,25%,$4.124
1053,ZOPICLONA,ZOPICLONA (B) 7.5mg X30COM.REC,HOSPIFARMA,$3.299,87%,$429
