,Laboratorio,Descripción Medicamento,Descuento,Precio referencial sin convenio 03/07/2018,Precio referencial redondeado El Botiquín 03/07/2018
1141,MEDIPHARM,DOLONASE X 10 COMPR.REC.,62%,$ 7.799,$ 2.964
1142,MEDIPHARM,DONEGAL GOTAS X 15 ML,50%,$ 4.199,$ 2.100
1143,MEDIPHARM,ELATER CREMA X 15 G,43%,$ 5.999,$ 3.419
1144,MEDIPHARM,FINDALER JARABE X 100 ML,54%,$ 8.999,$ 4.140
1145,MEDIPHARM,MI VIT C 1000mg. X 10 COMPR.EFERV.,33%,$ 3.099,$ 2.076
1146,MEDIPHARM,NOLAIS SHAMPOO X 120 ML,34%,$ 3.399,$ 2.243
1147,MEDIPHARM,NUMOSOL INF. JARABE X 100 ML,52%,$ 4.299,$ 2.064
1148,MEDIPHARM,PIROFLAM GOTAS X 20 ML,32%,$ 5.999,$ 4.079
1149,MEDIPHARM,QUEPIMAX BE 25MG X 30 COMPR,61%,$ 18.299,$ 7.137
1150,MEDIPHARM,RINOVEN GOTAS X 15 ML,30%,$ 2.699,$ 1.889
1151,MEDIPHARM,ROPSIL 0.5 MG X 30 COMPRIMIDOS,45%,$ 3.599,$ 1.979
1152,MEDIPHARM,ROPSIL 2 MG X 30 COMPRIMIDOS,61%,$ 6.199,$ 2.418
1153,AVENTIS,Profenid 100 mg x 10 CE,36%,$ 11.799,$ 7.551
1154,AVENTIS,Profenid 100 mg x 20 CE,36%,$ 19.299,$ 12.351
1155,AVENTIS,Profenid Bi 150 mg x 10 comp.,36%,$ 14.999,$ 9.599
1156,AVENTIS,ARAVA 20 mg x 30 COMPRIMIDOS,83%,$ 88.499,$ 15.045
1157,SANOFI WINTHROP DE CHILE S.A.,"PLAQUINOL (R) 200mg X30TAB,",76%,$ 44.099,$ 10.584
1158,LABORATORIO CHILE,METFORMINA (B) 850mg X30COM.REC.,30%,$ 2.399,$ 1.679
1159,ANDROMACO FARMA,DICLOFENACO 50mg X10COM.,93%,$ 599,$ 40
1160,PHARMATECH CHILE S.A.,LAGRIMAS ARTIFICIALES SOF.X15ml,62%,$ 2.599,$ 990
1161,SANITAS S.A.,TRAMADOL 50mg X10CAP.,30%,$ 3.499,$ 2.449
1162,LABORATORIO CHILE,METRONIDAZOL 500mg X10OVULOS,52%,$ 2.299,$ 1.094
1163,MINTLAB,MEBENDAZOL 100mg X6COM.,50%,$ 1.199,$ 601
1164,ASCEND LABORATORIES SPA,(B) AMLODIPINO 10mg COMP.X30,72%,$ 2.899,$ 812
1165,MINTLAB,AC.ACETIL SALICILICO 100mg X100COM.,83%,$ 3.399,$ 588
1166,EUROFARMA CHILE S.A.,CLAVAM DUO (BE) 875/125 COMP.X14,40%,$ 19.999,$ 11.999
1167,EUROFARMA CHILE S.A.,CLAVAM DUO(BE) 875/125 COMP.X20,43%,$ 23.299,$ 13.280
1168,EUROFARMA CHILE S.A.,ESC (BE) 10mg COM.X30,51%,$ 17.699,$ 8.673
1169,EUROFARMA CHILE S.A.,ESC(BE) 20mg COM.X30,43%,$ 19.999,$ 11.399
1170,EUROFARMA CHILE S.A.,IRTANA H(BE) 150/12.5 COM.X30,49%,$ 26.499,$ 13.514
1171,EUROFARMA CHILE S.A.,IRTANA H(BE) 300/12.5 COM.X30,49%,$ 26.399,$ 13.463
1172,EUROFARMA CHILE S.A.,LETICO (BE) 50mg COM.X30,78%,$ 19.699,$ 4.334
1173,EUROFARMA CHILE S.A.,LETICO(BE) 100mg COM.X30,57%,$ 23.099,$ 9.933
1174,EUROFARMA CHILE S.A.,LEVOXIN (BE)500mg COMP.X10,45%,$ 19.799,$ 10.889
1175,EUROFARMA CHILE S.A.,LEVOXIN(BE) 500mg COMP.X7,58%,$ 16.099,$ 6.762
1176,EUROFARMA CHILE S.A.,LUCASTE(BE) 4mg COM.X30,41%,$ 17.899,$ 10.560
1177,EUROFARMA CHILE S.A.,LUCASTE(BE) 5mg COM.X30,37%,$ 18.399,$ 11.591
1178,EUROFARMA CHILE S.A.,VERALPRES(BE) 160mg COMP.X30,30%,$ 9.299,$ 6.509
1179,EUROFARMA CHILE S.A.,AMATO 25mg COM.X60,30%,$ 21.599,$ 15.119
1180,EUROFARMA CHILE S.A.,AMATO(BE) 50mg COM.X60,30%,$ 33.199,$ 23.239
1181,EUROFARMA CHILE S.A.,BETAVOL 5+2mg/ml AMP.X1,30%,$ 13.899,$ 9.729
1182,EUROFARMA CHILE S.A.,BETINA (B) 16mg X30COM.,30%,$ 26.599,$ 18.619
1183,EUROFARMA CHILE S.A.,BETINA (B) 24mg X30COM.,30%,$ 31.999,$ 22.399
1184,EUROFARMA CHILE S.A.,BISOPRIL 1.25 COMP.X30,30%,$ 6.199,$ 4.339
1185,EUROFARMA CHILE S.A.,BISOPRIL 2.5 COMP.X30,30%,$ 13.599,$ 9.519
1186,EUROFARMA CHILE S.A.,BISOPRIL 5mg COMP.X30,30%,$ 15.099,$ 10.569
1187,EUROFARMA CHILE S.A.,BUTRINO 150mg COM.X30,30%,$ 18.799,$ 13.159
1188,EUROFARMA CHILE S.A.,BUTRINO 150mg COM.X60,30%,$ 27.299,$ 19.109
1189,EUROFARMA CHILE S.A.,DAIVA 150/10 X1AMP,44%,$ 6.899,$ 3.863
1190,EUROFARMA CHILE S.A.,FEMIPLUS 20 CD COMP.X28,38%,$ 14.699,$ 9.113
1191,EUROFARMA CHILE S.A.,FEMIPLUS CD COMP.X28,30%,$ 15.799,$ 11.059
1192,EUROFARMA CHILE S.A.,KALITIUM 300mg COM.X50,30%,$ 9.699,$ 6.789
1193,EUROFARMA CHILE S.A.,KALITIUM 450mg COM.X30,30%,$ 9.799,$ 6.859
1194,EUROFARMA CHILE S.A.,MAREAMIN 100mg COMP.X20,30%,$ 10.299,$ 7.209
1195,EUROFARMA CHILE S.A.,PANTOCAL 40mg X28COM.REC.,40%,$ 20.999,$ 12.599
1196,EUROFARMA CHILE S.A.,"SOP 2,0/0,035 X21COM.REC.",30%,$ 11.499,$ 8.049
1197,EUROFARMA CHILE S.A.,TAMISA 30/75 GRA.X21,30%,$ 7.499,$ 5.249
1198,EUROFARMA CHILE S.A.,TIRIZ 5mg COMP.X30,40%,$ 5.499,$ 3.299
1199,EUROFARMA CHILE S.A.,ZETAMAX 500mg COMP.X6,49%,$ 9.499,$ 4.844
1200,MEDIPHARM,BILATEN 8 MG X 15 COMPR.,35%,$ 11.599,$ 7.539
1201,MEDIPHARM,CALCIO 500MG +VIT. D 400 UI x 30 compr.,32%,$ 6.499,$ 4.419
1202,MEDIPHARM,CALCIO 320MG + VIT. D3 125 UI x 60 compr.,32%,$ 7.999,$ 5.439
1203,MEDIPHARM,CLOTRIMIN CREMA X 20 G,54%,$ 1.990,$ 915
1204,MEDIPHARM,CLOTRIMIN OVULOS VAGINALES X 1 OVULO,81%,$ 6.999,$ 1.330
1205,MEDIPHARM,DAMIXAN TABL.RECUBIE 10 MG X 30,33%,$ 14.699,$ 9.848
1206,MEDIPHARM,DESDOL X 20 COMPR.,55%,$ 6.999,$ 3.150
1207,MEDIPHARM,DOLOFAR 50 MG X 30 CAPS.,59%,$ 4.999,$ 2.050
1208,MEDIPHARM,DOLONASE X 10 COMPR.REC.,62%,$ 7.399,$ 2.812
1209,MEDIPHARM,DONEGAL GOTAS X 15 ML,50%,$ 4.199,$ 2.100
1210,MEDIPHARM,ELATER CREMA X 15 G,43%,$ 5.999,$ 3.419
1211,MEDIPHARM,FINDALER JARABE X 100 ML,54%,$ 8.999,$ 4.140
1212,MEDIPHARM,MI VIT C 1000mg. X 10 COMPR.EFERV.,33%,$ 3.099,$ 2.076
1213,MEDIPHARM,NOLAIS SHAMPOO X 120 ML,34%,$ 3.399,$ 2.243
1214,MEDIPHARM,NUMOSOL INF. JARABE X 100 ML,52%,$ 4.299,$ 2.064
1215,MEDIPHARM,PIROFLAM GOTAS X 20 ML,32%,$ 5.999,$ 4.079
1216,MEDIPHARM,QUEPIMAX BE 25MG X 30 COMPR,61%,$ 18.299,$ 7.137
1217,MEDIPHARM,RINOVEN GOTAS X 15 ML,30%,$ 2.799,$ 1.959
1218,MEDIPHARM,ROPSIL 0.5 MG X 30 COMPRIMIDOS,45%,$ 3.599,$ 1.979
1219,MEDIPHARM,ROPSIL 2 MG X 30 COMPRIMIDOS,61%,$ 6.199,$ 2.418
1220,AVENTIS,Profenid 100 mg x 10 CE,36%,$ 11.199,$ 7.167
1221,AVENTIS,Profenid 100 mg x 20 CE,36%,$ 18.399,$ 11.775
1222,AVENTIS,Profenid Bi 150 mg x 10 comp.,36%,$ 14.999,$ 9.599
1223,AVENTIS,ARAVA 20 mg x 30 COMPRIMIDOS,83%,$ 88.499,$ 15.045
1224,SANOFI WINTHROP DE CHILE S.A.,"PLAQUINOL (R) 200mg X30TAB,",76%,$ 44.099,$ 10.584
1225,MEDIPHARM,APETROL JARABE x 120 ml,32%,$ 10.199,$ 6.935
1226,MEDIPHARM,ATENFAR BE 20MG X 30 COMPR. REC.,53%,$ 7.799,$ 3.666
1227,MEDIPHARM,CLODAVAN CREMA x 30 grs.,43%,$ 7.999,$ 4.559
1228,MEDIPHARM,CLOTRIMIN SOLUCION TOPICA 20 ml.,52%,$ 4.999,$ 2.400
1229,MEDIPHARM,CLOTRIMIN-B CREMA x 15 grs.,72%,$ 8.599,$ 2.408
1230,MEDIPHARM,CORTIGRIP x 10 comprimidos,41%,$ 3.599,$ 2.123
1231,MEDIPHARM,DIRTOP 100 mg. x 5 comprimidos Rec.,78%,$ 11.899,$ 2.618
1232,MEDIPHARM,DIRTOP 50 mg. x 1 comprimido BE,31%,$ 1.399,$ 965
1233,MEDIPHARM,DIRTOP 50 mg. x 5 comprimidos,68%,$ 5.990,$ 1.917
1234,MEDIPHARM,DONEGAL 10 Mg (I) B/E X 30 COM.REC.,50%,$ 5.599,$ 2.800
1235,MEDIPHARM,FINDER SH. X 100ML,52%,$ 11.999,$ 5.760
1236,MEDIPHARM,GASTRODINE 20 mg. x 28 comprimidos,51%,$ 14.499,$ 7.105
1237,MEDIPHARM,GLIDANIL 850 MG. 30 comprimidos (BE),71%,$ 3.699,$ 1.073
1238,MEDIPHARM,NUMOSOL ADULTO JARABE x 100 ml,40%,$ 4.499,$ 2.699
1239,MEDIPHARM,PIROFLAM 100 mg. 10 cápsulas L.P.,37%,$ 4.499,$ 2.834
1240,MEDIPHARM,PLU-TOS JARABE 100 ML,32%,$ 4.599,$ 3.127
1241,MEDIPHARM,PROCION 20 mg. x 20 comprimidos,71%,$ 7.199,$ 2.088
1242,MEDIPHARM,PROCION 20 mg/5ml SUSPENSION 60 ml.,55%,$ 7.199,$ 3.240
1243,MEDIPHARM,SENTIDOL 75 mg. x 30 comprimidos,34%,$ 16.099,$ 10.625
1244,MEDIPHARM,VESNIDAN x 30 comprimidos,65%,$ 14.399,$ 5.040
1245,MEDIPHARM,VIPLAN FORTE GOTAS x 15 ml,59%,$ 4.599,$ 1.886
1246,MEDIPHARM,ZALEDOR 100mg. GOTAS 10 ml.,73%,$ 8.999,$ 2.430
1247,Merck Qca.Chilena Soc.Ltda,EUTIROX (R) 88mcg X50COM.,34%,$ 9.699,$ 6.401
1248,Merck Qca.Chilena Soc.Ltda,EUTIROX (R) 112mcg X50COM.,37%,$ 11.999,$ 7.559
1249,Merck Qca.Chilena Soc.Ltda,EUTIROX (R) 125mcg X50TAB.,33%,$ 12.599,$ 8.441
1250,Merck Qca.Chilena Soc.Ltda,GLAFORNIL XR (R) 1000 X30COM.PROL.,39%,$ 21.399,$ 13.053
1251,Merck Qca.Chilena Soc.Ltda,EUTIROX (R) 75mcg X50TAB,25%,$ 8.299,$ 6.224
