,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio septiembre 2020,Descuento,Precio referencial con convenio septiembre 2020
946,SERTRALINA,SERTRALINA (B) 100mg X30COM.,LABORATORIO CHILE,$7.099,75%,$1.775
947,SILDENAFIL,DIRTOP 100 mg. x 5 comprimidos Rec.,MEDIPHARM,$11.999,70%,$3.600
948,SILDENAFIL,DIRTOP 50 mg. x 1 comprimido BE,MEDIPHARM,$1.499,31%,$1.034
949,SILDENAFIL,DIRTOP 50 mg. x 10 comprimidos BE,MEDIPHARM,$11.799,59%,$4.838
950,SILDENAFIL,DIRTOP 50 mg. x 20 comprimidos Rec. BE,MEDIPHARM,$14.999,58%,$6.300
951,SILDENAFIL,DIRTOP 50 mg. x 5 comprimidos,MEDIPHARM,$5.999,68%,$1.920
952,SIMETICONA,FLAPEX 4% GTAS.15ml,ANDROMACO FARMA,$13.899,20%,$11.119
953,SIMETICONA,FLAPEX E CAPS.X10,ANDROMACO FARMA,$4.999,20%,$3.999
954,SIMETICONA + PIPENZOLATO METILBROMURO,GASORBOL GTAS.15ml,ANDROMACO FARMA,$17.499,30%,$12.249
955,SITAGLIPTINA + METFORMINA,JANUMET 50/1000 COMP.X56,MERCK SHARP&DOME,$52.999,24%,$40.279
956,SITAGLIPTINA + METFORMINA,JANUMET 50/500 COMP.X28,MERCK SHARP&DOME,$31.999,25%,$23.999
957,SITAGLIPTINA + METFORMINA,JANUMET 50/500 COMP.X56,MERCK SHARP&DOME,$51.499,23%,$39.654
958,SITAGLIPTINA + METFORMINA,JANUMET 50/1000 X28COM.REC.,MERCK SHARP&DOME,$32.499,30%,$22.749
959,SODIO CLORURO INYECTABLE,CLORURO DE SODIO 0.9% 20ml X5,BIOSANO,$1.899,50%,$950
960,SODIO CLORURO INYECTABLE,CLORURO SODIO 0.9% X250ml,HOSPIFARMA,$1.199,47%,$635
961,SODIO CLORURO INYECTABLE,CLORURO SODIO 0.9% X500ml,HOSPIFARMA,$1.699,82%,$306
962,SODIO HIALURONATO,HYABAK SOL.OFT.10ml,THEA PHARMA SPA,$25.999,48%,$13.519
963,SODIO HIALURONATO,LAGRICEL OFTENO 0.4% SOF.X20UNID.,SOPHIA,$24.999,74%,$6.500
964,SODIO HIALURONATO,TOPTEAR 0.4% SOF.X10ml,PHARMA INVESTI,$15.499,38%,$9.609
965,SUERO FISIOLOGICO USO NASAL,FISIOLIMP LN.X100ml,PASTEUR,$14.999,33%,$10.049
966,SUERO FISIOLOGICO USO NASAL,BEBESAL SOL.NASAL SPRAY X100ml,RECETARIO,$14.999,33%,$10.049
967,SULFADIAZINA DE PLATA,SULFADIAZINA DE PLATA X50g,BAMBERG/SCHUBERT,$23.299,76%,$5.592
968,SULPIRIDE,SULPILAN 50mg X30CAP.,ITF (EX LABOMED),$15.499,70%,$4.650
969,SUPLEMENTO ALIMENTICIO,ENERTON X30COM.,MEDCELL HELTY,$5.790,25%,$4.343
970,SUPLEMENTO ALIMENTICIO,MOVIZ UP/DOWN X60CAP.,VITAMIN LIFE,$8.990,25%,$6.743
971,SUPLEMENTO ALIMENTICIO,GASSO MAX X60CAP.,VITAMIN LIFE,$10.390,41%,$6.130
972,SUPLEMENTO ALIMENTICIO,NEOSTEROL PLUS X60CAP.,VITAMIN LIFE,$5.990,20%,$4.792
973,SUPLEMENTO ALIMENTICIO,AVOPLUS X60TAB.,VITAMIN LIFE,$20.999,20%,$16.799
974,TACROLIMUS,T-INMUN (B) 1mg X60CAP.,RECALCINE,$153.999,78%,$33.880
975,TAMSULOSINA,GOTELY 0.4mg CAPS.X30,TECNOFARMA LTDA.,$15.999,24%,$12.159
976,TAMSULOSINA,PROSTALL 0.4mg X30COM.PROL.,RECALCINE,$20.199,89%,$2.222
977,TAMSULOSINA,SINGOTEX 0.4mg X30COM.LIB.PROL.,RAFFO S.A.,$11.999,25%,$8.999
978,TELMISARTAN,CORDIAX 40mg X30COM.,RECALCINE,$22.499,15%,$19.124
979,TELMISARTAN,CORDIAX 80mg X30COM.,RECALCINE,$25.999,25%,$19.499
980,TELMISARTAN,QSAR 40mg X30COM.,MEDIPHARM,$13.399,25%,$10.049
981,TELMISARTAN,TELLMI (B) 80mg X30COMP,SAVAL S.A.,$23.999,25%,$17.999
982,TELMISARTAN + AMLODIPINO,CORDIAX AM 40/5 X30COM.,RECALCINE,$23.499,25%,$17.624
983,TELMISARTAN + AMLODIPINO,CORDIAX AM 80/10 X30COM.,RECALCINE,$23.499,25%,$17.624
984,TELMISARTAN + AMLODIPINO,CORDIAX AM 80/5 X30COM.,RECALCINE,$25.999,23%,$20.019
985,TELMISARTAN + AMLODIPINO,MICARDIS AMLO 80/10 X28COM.,BOEHRINGER INGELHEIM,$35.599,25%,$26.699
986,TELMISARTAN + AMLODIPINO,MICARDIS AMLO 80/5 X28COM.,BOEHRINGER INGELHEIM,$40.099,31%,$27.668
987,TELMISARTAN + HIDROCLOROTIAZIDA,CORDIAX D 40/12.5 X30COM.,RECALCINE,$23.499,17%,$19.504
988,TELMISARTAN + HIDROCLOROTIAZIDA,"TELLMI-D 80/12,5mg 30COMP",SAVAL S.A.,$23.999,36%,$15.359
989,TELMISARTAN + HIDROCLOROTIAZIDA,MICARDIS PLUS 40/12.5 X28COM.,BOEHRINGER INGELHEIM,$37.599,25%,$28.199
990,TERBINAFINA,TERBINAFINA (B) 250mg X28COM.,LABORATORIO CHILE,$9.799,49%,$4.997
991,TERBINAFINA,ELATER 250mg X30COM.,MEDIPHARM,$13.499,54%,$6.210
992,TERBINAFINA USO TOPICO,ELATER CREMA X 15 G,MEDIPHARM,$5.999,43%,$3.419
993,TERBINAFINA USO TOPICO,MUCIVIL 1% SP.X20ml,PRATER,$8.399,42%,$4.871
994,TERBINAFINA USO TOPICO,DICIL 1% SOL.SP.X30ml,PHARMA INVESTI,$8.799,42%,$5.103
995,TESTOSTERONA,ACTISER-T 2.5g GEL SOB.X30,SILESIA,$32.999,20%,$26.399
996,TETRACICLINA,TETRACICLINA 500mg X8CAP.,HOSPIFARMA,$1.899,55%,$855
997,TIAMAZOL,THYROZOL 10mg X50COM.REC.,MERCK SA CHILE,$32.099,49%,$16.370
998,TIAMAZOL,THYROZOL 5mg X50COM.REC.,MERCK SA CHILE,$14.599,28%,$10.511
999,TIBOLONA,LIREX 2.5mg X30COM.,SILESIA,$24.199,35%,$15.729
1000,TIBOLONA,"TINOX 2,5mg X30COM.",RECALCINE,$26.599,64%,$9.576
1001,TICAGRELOR,BRILINTA 90mg X30COM.REC.,ASTRA ZENECA DE CHILE LTDA.,$44.399,56%,$19.536
1002,TINIDAZOL + MICONAZOL,FAMIDAL CR.VAG.60g,ANDROMACO FARMA,$20.599,30%,$14.419
1003,TINIDAZOL + MICONAZOL,FAMIDAL DUAL CR.20g+10OVULO,ANDROMACO FARMA,$23.999,30%,$16.799
1004,TINIDAZOL + MICONAZOL,FAMIDAL OVUL.VAG.X10,ANDROMACO FARMA,$24.499,30%,$17.149
1005,TINIDAZOL + MICONAZOL,MEDIDOS X10CAP.VAG.,MEDIPHARM,$8.299,30%,$5.809
1006,TINIDAZOL + MICONAZOL,GINECOPAST DUAL CR.X10g+10OV.,PASTEUR,$13.999,30%,$9.799
1007,TIORIDAZINA,TIORIDAZINA 100mg X20COM.REC.,LABORATORIO CHILE,$5.399,61%,$2.106
1008,TIORIDAZINA,TIORIDAZINA 25mg X30COM.REC.,LABORATORIO CHILE,$2.199,53%,$1.034
1009,TIOTROPIO BROMURO,SPIRIVA RESPIMAT 2.5mcg INH.X30DS,BOEHRINGER INGELHEIM,$63.899,47%,$33.866
1010,TIZANIDINA,SIRDALUD 2mg X12COM.,NOVARTIS CHILE S.A.,$15.499,20%,$12.399
1011,TOLTERODINA,DETRUSITOL 2mg X28COM.REC.,PFIZER,$28.399,16%,$23.855
1012,TOLTERODINA,DETRUSITOL SR 4mg X30COM.REC.,PFIZER,$44.299,28%,$31.895
1013,TOLTERODINA,UROSTOP (B) 2mg X30COM.,SYNTHON,$16.999,25%,$12.749
1014,TOPIRAMATO,AMATO 25mg COM.X60,EUROFARMA CHILE S.A.,$21.499,30%,$15.049
1015,TOPIRAMATO,AMATO(BE) 50mg COM.X60,EUROFARMA CHILE S.A.,$32.999,30%,$23.099
1016,TOPIRAMATO,TOPICTAL (B) 100mg X28COM.REC.,TECNOFARMA LTDA.,$48.099,30%,$33.669
1017,TOPIRAMATO,TOPICTAL 25mg X28COM.REC.,TECNOFARMA LTDA.,$22.899,20%,$18.319
1018,TOPIRAMATO,TOPICTAL 50mg X28COM.REC.,TECNOFARMA LTDA.,$30.499,30%,$21.349
1019,TOPIRAMATO,TOPREL 100mg X30COM.REC.,RECALCINE,$61.499,35%,$39.974
1020,TOPIRAMATO,TOPREL 25mg X30COM.REC.,RECALCINE,$24.499,72%,$6.860
1021,TOPIRAMATO,TOPREL 50mg X30COM.REC.,RECALCINE,$39.999,21%,$31.599
1022,TOPIRAMATO,BIO MOOD (B) 25mg X30COM.,SAVAL S.A.,$17.599,30%,$12.319
1023,TOPIRAMATO,BIO MOOD (B) 100mg X30COM.,SAVAL S.A.,$45.399,30%,$31.779
1024,TRAMADOL,ANALGEX 100mg/ml GTAS.X20ml,RECALCINE,$12.999,95%,$650
1025,TRAMADOL,TRAMADOL 100mg GTAS.X10ml,LABORATORIO CHILE,$4.099,70%,$1.230
1026,TRAMADOL,TRAMADOL 50mg X10CAP.,SANITAS S.A.,$2.499,30%,$1.749
1027,TRAMADOL,TRAMAL 100mg/ml GTAS.X10ml,GRUNENTHAL,$22.899,44%,$12.823
1028,TRAMADOL,TRAMAL LONG 100mg X10COM.,GRUNENTHAL,$30.099,76%,$7.224
1029,TRAMADOL,TRAMAL LONG 50mg X20COM.PROL.,GRUNENTHAL,$24.899,67%,$8.217
1030,TRAMADOL,ZALEDOR 100mg. GOTAS 10 ml.,MEDIPHARM,$9.199,70%,$2.760
1031,TRAZODONA,TRITTICO 100mg X20COM.,LABORATORIO CHILE,$30.599,35%,$19.889
1032,TRAZODONA,TRITTICO 25mg X20CAP.,LABORATORIO CHILE,$23.999,47%,$12.719
1033,TRAZODONA,TRITTICO AC 150mg X20COM.PROL.,LABORATORIO CHILE,$52.999,43%,$30.209
1034,TRAZODONA,TRONSALAN 100mg X20COM.REC.,MEDIPHARM,$15.799,57%,$6.794
1035,TRIBENOSIDO + LIDOCAINA,GESIPROCT X 30 GR.,MEDIPHARM,$10.399,25%,$7.799
1036,TRICLOSAN,SANIGERMIN 1% JB.X90g,SANITAS S.A.,$1.599,36%,$1.023
1037,TRICLOSAN,LAVASEPT 1% JB.X90g,FARMOQUIMICA DEL PACIFICO,$2.099,41%,$1.238
1038,TRIHEXIFENIDILO,TONARIL 2mg X100COM.,LABORATORIO CHILE,$22.999,80%,$4.600
1039,TRIMEBUTINO,TRIMEBUTINO (B) 100mg X20COM.,ANDROMACO FARMA,$1.799,75%,$450
1040,VALSARTAN,VERALPRES(BE) 160mg COMP.X30,EUROFARMA CHILE S.A.,$12.999,23%,$10.009
1041,VALSARTAN,TAREG (R) 160mg X28COM.REC.,AXON PHARMA,$37.299,30%,$26.109
1042,VALSARTAN,TAREG (R) 160mg X56COM.REC.,AXON PHARMA,$60.499,21%,$47.794
1043,VALSARTAN,TAREG (R) 320mg X28COM.REC.,AXON PHARMA,$37.499,30%,$26.249
1044,VALSARTAN,TAREG (R) 80mg X28COM.REC.,AXON PHARMA,$41.499,27%,$30.294
1045,VALSARTAN,TAREG (R) 80mg X56COM.REC.,AXON PHARMA,$59.499,30%,$41.649
1046,VALSARTAN,(B) VALAPLEX 160mg COMP.X30,LABORATORIO CHILE,$16.899,35%,$10.984
1047,VALSARTAN,(B) VALAPLEX 320mg COM.X30,LABORATORIO CHILE,$16.899,35%,$10.984
1048,VALSARTAN,(B) VALAPLEX 80mg COMP.X30,LABORATORIO CHILE,$16.899,35%,$10.984
1049,VALSARTAN,VALAX (B) 160mg X30COM.REC.,SAVAL S.A.,$15.899,25%,$11.924
1050,VALSARTAN,VALVITAE (B) 160mg X28COM.,GALENICUM HEALTH CHILE SPA,$14.999,25%,$11.249
1051,VALSARTAN,VALVITAE (B) 80mg X28COM.,GALENICUM HEALTH CHILE SPA,$13.999,30%,$9.799
1052,VALSARTAN,TAMCORE (B) 320mg X30COM.REC,SANOFI WINTHROP DE CHILE S.A.,$14.399,30%,$10.079
1053,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/12.5 X28COM.REC.,AXON PHARMA,$47.299,30%,$33.109
1054,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/12.5 X56COM.REC.,AXON PHARMA,$68.399,28%,$49.247
1055,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/25 X28COM.REC.,AXON PHARMA,$36.499,30%,$25.549
1056,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/25 X56COM.REC.,AXON PHARMA,$57.699,30%,$40.389
1057,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/12.5 X28COM.REC.,AXON PHARMA,$37.599,30%,$26.319
1058,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/12.5 X56COM.REC.,AXON PHARMA,$63.999,24%,$48.639
1059,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/25 X28COM.REC.,AXON PHARMA,$35.499,30%,$24.849
1060,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 80/12.5 X28COM.REC.,AXON PHARMA,$44.099,29%,$31.310
1061,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 80/12.5 X56COM.REC,AXON PHARMA,$68.699,28%,$49.463
1062,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D 160/12.5MG 30CR,LABORATORIO CHILE,$16.899,35%,$10.984
1063,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D 80/12.5MG 30CR,LABORATORIO CHILE,$16.899,35%,$10.984
1064,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D FTE 160/25MG 30CR,LABORATORIO CHILE,$16.899,35%,$10.984
1065,VALSARTAN + HIDROCLOROTIAZIDA,DOSARA D 160/12.5 X30COM.REC.,ANDROMACO FARMA,$15.999,30%,$11.199
1066,VALSARTAN + HIDROCLOROTIAZIDA,VALAX D 320/25 X30COM.REC,SAVAL S.A.,$14.699,30%,$10.289
1067,VASELINA LIQUIDA MEDICINAL,VASELINA MEDICINAL X120ml,LABORATORIO CHILE,$1.499,26%,$1.109
1068,VASELINA LIQUIDA MEDICINAL,VASELINA LIQUIDA ORAL X125ml,MEDCELL ACCESORIOS,$2.099,26%,$1.553
1069,VENLAFAXINA,ECTIEN XR 150 MG X 30 CAPSULAS,LABORATORIO CHILE,$41.999,30%,$29.399
1070,VENLAFAXINA,ECTIEN XR 37.5 MG X 30 CAPSULAS,LABORATORIO CHILE,$16.499,34%,$10.889
1071,VENLAFAXINA,ECTIEN XR 75 MG X 30 CAPSULAS,LABORATORIO CHILE,$21.499,55%,$9.675
1072,VENLAFAXINA,EFEXOR XR (R) 75mg X30CAP.,PFIZER,$62.099,45%,$34.154
1073,VENLAFAXINA,SENEXON SR 150mg X30COM.PROL.,RECALCINE,$62.499,31%,$43.124
1074,VENLAFAXINA,SENEXON SR 37.5mg X30COM.REC.,RECALCINE,$25.799,20%,$20.639
1075,VENLAFAXINA,SENEXON SR 75mg X30COM.PROL.,RECALCINE,$32.999,25%,$24.749
1076,VENLAFAXINA,SENTIDOL 50 mg. x 30 comprimidos,MEDIPHARM,$15.699,25%,$11.774
1077,VENLAFAXINA,SENTIDOL 75 mg. x 30 comprimidos,MEDIPHARM,$18.199,34%,$12.011
1078,VENLAFAXINA,SUBELAN XR (B) 150mg X30CAP.PROL.,EXELTIS CHILE,$44.999,20%,$35.999
1079,VENLAFAXINA,SUBELAN XR (B) 37.5mg X30CAP.PROL.,EXELTIS CHILE,$26.499,20%,$21.199
1080,VENLAFAXINA,SUBELAN XR (B) 75mg X30CAP.PROL.,EXELTIS CHILE,$30.999,90%,$3.100
1081,VENLAFAXINA,DEPUROL RET.(B) 150mg X30CAP.,PHARMA INVESTI,$70.799,38%,$43.895
1082,VENLAFAXINA,VENCONTROL (B) 150mg X30CAP.,SANOFI WINTHROP DE CHILE S.A.,$39.199,20%,$31.359
1083,VENLAFAXINA,VENCONTROL (B) 37.5mg X30CAP.,SANOFI WINTHROP DE CHILE S.A.,$20.999,20%,$16.799
1084,VILANTEROL + FLUTICASONA,RELVAR 184/22mcg INH.X30DS.,GLAXO,$64.099,57%,$27.563
1085,VILANTEROL + FLUTICASONA,RELVAR 92/22mcg INH.X30DS.,GLAXO,$61.299,55%,$27.585
1086,VILDAGLIPTINA,GALVUS 50mg X28COM.,AXON PHARMA,$27.099,61%,$10.569
1087,VILDAGLIPTINA,GALVUS 50mg X56COM.,AXON PHARMA,$44.199,20%,$35.359
1088,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/1000 X28COM.REC.,AXON PHARMA,$28.099,20%,$22.479
1089,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/1000 X56COM.REC.,AXON PHARMA,$52.599,20%,$42.079
1090,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/500 X28COM.REC.,AXON PHARMA,$25.999,55%,$11.700
1091,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/500 X56COM.REC.,AXON PHARMA,$47.899,20%,$38.319
1092,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/850 X28COM.REC.,AXON PHARMA,$33.299,65%,$11.655
1093,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/850 X56COM.REC.,AXON PHARMA,$47.899,20%,$38.319
1094,VIT.A + VIT.C + VIT.D,ABECIDIN ACD GTAS.30ml,PASTEUR,$7.299,20%,$5.839
1095,VIT.A + VIT.C + VIT.D,BION 3 MINI COMP.X30,PROCTER&GAMBLE (FARMA),$10.099,12%,$8.887
1096,VIT.A + VIT.C + VIT.D,VITAMINA ACD GTAS.X30ml,LABORATORIO CHILE,$4.599,78%,$1.012
1097,VIT.A + VIT.C + VIT.D,INFORTIN ACD GTAS.X30ml,PRATER,$8.399,20%,$6.719
1098,VIT.B1 + VIT.B6 + VIT.B12,VITAMINA B1 B6 B12 10000 X3AMP.,ByB FARMACEUTICA,$3.199,78%,$704
1099,VITAMINA C (ACIDO ASCORBICO),ACIDO ASCORBICO 100mg X100COM.,ByB FARMACEUTICA,$1.199,54%,$552
1100,VITAMINA C (ACIDO ASCORBICO),MI VIT C 1000mg. X 10 COMPR.EFERV.,MEDIPHARM,$3.099,33%,$2.076
1101,VITAMINA C (ACIDO ASCORBICO),MIVIT C FRUT.ROJOS 100mg X100COM.MAST.,MEDIPHARM,$1.790,56%,$788
1102,VITAMINA C (ACIDO ASCORBICO),MIVIT C SABOR 500mg X30COM.MAST.,MEDIPHARM,$2.799,70%,$840
1103,VITAMINA C (ACIDO ASCORBICO),MIVIT C 100mg X100COM.MASTICABLES,MEDIPHARM,$1.799,54%,$828
1104,VORTIOXETINA,BRINTELLIX 10mg X14COM.,LUNDBECK,$26.599,5%,$25.269
1105,VORTIOXETINA,BRINTELLIX 10mg X28COM.,LUNDBECK,$56.699,5%,$53.864
1106,ZINC,NUM-ZIT 10mg COMP.X30,ANDROMACO FARMA,$11.899,30%,$8.329
1107,ZINC,NUM-ZIT 15mg COMP.X30,ANDROMACO FARMA,$10.899,30%,$7.629
1108,ZINC,NUM-ZIT 5 GTAS.25ml,ANDROMACO FARMA,$11.899,30%,$8.329
1109,ZINC,ALTAZINC 10mg X40COM.,SAVAL S.A.,$18.699,30%,$13.089
1110,ZINC,ALTAZINC 15mg X40COM.,SAVAL S.A.,$17.699,30%,$12.389
1111,ZINC,ALTAZINC 5mg/ml GTAS.X30ml,SAVAL S.A.,$20.399,30%,$14.279
1112,ZINC OXIDO + ACEITE DE HIGADO BACALAO,COCEDURAS CR.X75g,MEDCELL ACCESORIOS,$2.599,20%,$2.079
1113,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.100g,ANDROMACO FARMA,$6.899,20%,$5.519
1114,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.20g,ANDROMACO FARMA,$3.899,20%,$3.119
1115,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.60g,ANDROMACO FARMA,$5.299,20%,$4.239
1116,ZINC OXIDO + VIT.A + VIT.D + ALCOHOL PANTOTENILICO + BENZALCONIO CLORURO,POVIN PDA.20g,ANDROMACO FARMA,$3.399,20%,$2.719
1117,ZOLPIDEM,DAMIXAN TABL.RECUBIE 10 MG X 30,MEDIPHARM,$18.499,33%,$12.394
1118,ZOLPIDEM,UPTOYOU (B) 10mg X30COM.REC.,EXELTIS CHILE,$20.999,20%,$16.799
1119,ZOPICLONA,"LOSOPIL 7,5 mg. x 30 comprimidos",MEDIPHARM,$5.499,25%,$4.124
1120,ZOPICLONA,ZOPICLONA (B) 7.5mg X30COM.REC,HOSPIFARMA,$3.299,87%,$429
