,Descripción Medicamento,Laboratorio,Descuento,Precio referencial sin convenio 06/05/2019,Precio referencial con Descuento
1140,METFORMINA (B) 850mg X30COM.REC.,MINTLAB,67%,$ 2.399,$ 792
1141,METFORMINA (B) 850mg X30COM.REC.,SANITAS S.A.,67%,$ 2.399,$ 792
1142,METFORMINA (B) 850mg X60COM.REC.,GENERICOS,88%,$ 4.899,$ 588
1143,METFORMINA (B) 850mg X60COM.REC.,LABORATORIO CHILE,88%,$ 4.899,$ 588
1144,METFORMINA (B) 850mg X60COM.REC.,OPKO,88%,$ 4.899,$ 588
1145,METFORMINA (B) 850mg X60COM.REC.,SANITAS S.A.,88%,$ 4.899,$ 588
1146,METOCLOPRAMIDA (B) 10mg X24COM.,ANDROMACO FARMA,73%,$ 1.299,$ 351
1147,METOCLOPRAMIDA (B) 10mg X24COM.,LABORATORIO CHILE,73%,$ 1.299,$ 351
1148,METOCLOPRAMIDA (B) 10mg X24COM.,GENERICOS,73%,$ 1.299,$ 351
1149,METOCLOPRAMIDA 10mg X24COM.,MINTLAB,73%,$ 1.299,$ 351
1150,METOTREXATO 50mg X1AMP.,PFIZER,49%,$ 6.799,$ 3.467
1151,METRANS XR 20MG. CAJA 30 COMP.REC. LP,ANDROMACO FARMA,40%,$ 34.299,$ 20.579
1152,METRONIDAZOL 500mg X10OVULOS,GENERICOS,57%,$ 2.299,$ 989
1153,METRONIDAZOL 500mg X10OVULOS,LABORATORIO CHILE,57%,$ 2.299,$ 989
1154,METRONIDAZOL 500mg X10OVULOS,PASTEUR,57%,$ 2.299,$ 989
1155,METRONIDAZOL 500mg X10OVULOS,RECALCINE,57%,$ 2.299,$ 989
1156,METRONIDAZOL 500mg X10OVULOS,ANDROMACO FARMA,57%,$ 2.299,$ 989
1157,METROPAST (B) 500mg X20COM.,PASTEUR,51%,$ 9.199,$ 4.508
1158,MI VIT C 1000mg. X 10 COMPR.EFERV.,MEDIPHARM,33%,$ 3.099,$ 2.076
1159,MICROGEN 20 CD X28 COM.REC.,SILESIA,50%,$ 11.999,$ 6.000
1160,MICROGEN X21COM.REC.,SILESIA,50%,$ 15.499,$ 7.750
1161,MICROSER COMP.16MG.X30 VTA,GRUNENTHAL,40%,$ 40.999,$ 24.599
1162,MICROSER COMP.24MG.X30 VTA (BE),GRUNENTHAL,40%,$ 42.699,$ 25.619
1163,MICROSER COMP.8MG.X30 VTA,GRUNENTHAL,40%,$ 32.099,$ 19.259
1164,MICROSER COMP.8MG.X60 VTA,GRUNENTHAL,40%,$ 46.399,$ 27.839
1165,MILISER 1mg X30COM.,RECALCINE,79%,$ 10.099,$ 2.121
1166,MIMETIX ODT 10mg X60COM.REC.,RECALCINE,82%,$ 47.199,$ 8.496
1167,MIMETIX ODT 20mg X30COM.REC.,RECALCINE,50%,$ 49.799,$ 24.900
1168,MINIDIAB 5mg X30CAP.,PFIZER,37%,$ 18.999,$ 11.969
1169,MINIDIAB 5mg X90COM.,PFIZER,67%,$ 43.199,$ 14.256
1170,MIVIT C FRUT.ROJOS 100mg X100COM.MAST.,MEDIPHARM,64%,$ 1.790,$ 644
1171,MIVIT C SABOR 500mg X30COM.MAST.,MEDIPHARM,70%,$ 2.799,$ 840
1172,MIZONASE SET,RECALCINE,50%,$ 19.899,$ 9.950
1173,MIZONASE X10CAP.VAG.,RECALCINE,20%,$ 12.999,$ 10.399
1174,MONDRIAN 150MG X 30,ANDROMACO FARMA,40%,$ 21.999,$ 13.199
1175,MORELIN 30CR,LABORATORIO CHILE,35%,$ 17.999,$ 11.699
1176,MUCIVIL 1% SP.X20ml,PRATER,42%,$ 7.699,$ 4.465
1177,MUPAX 2% UNG.X7.5g,RAFFO S.A.,15%,$ 5.999,$ 5.099
1178,NALERONA 50mg COMP.X30,SILESIA,30%,$ 75.299,$ 52.709
1179,NAPROXENO (B) 550mg X10COM.,EUROFARMA CHILE S.A.,62%,$ 2.899,$ 1.102
1180,NAPROXENO (B) 550mg X10COM.,ANDROMACO FARMA,62%,$ 2.899,$ 1.102
1181,NAPROXENO (B) 550mg X10COM.,LABORATORIO CHILE,62%,$ 2.899,$ 1.102
1182,NAPROXENO 550mg X10COM.,GENEXX,62%,$ 2.899,$ 1.102
1183,NAPROXENO 550mg X10COM.,MINTLAB,62%,$ 2.899,$ 1.102
1184,NASTIFRIN CPTO.S.O.X100ml,LABORATORIO CHILE,86%,$ 6.899,$ 966
1185,NASTIFRIN GTAS.X15ml,LABORATORIO CHILE,54%,$ 8.199,$ 3.772
1186,NASTIZOL CPTO.JBE.X100ml,BAGO,83%,$ 8.499,$ 1.445
1187,NASTUL CPTO.JBE.X100ml,CHEMOPHARMA S.A.,84%,$ 7.599,$ 1.216
1188,NASTUL CPTO.X10COM.REC.,CHEMOPHARMA S.A.,88%,$ 4.299,$ 516
1189,NATIK 90 SAB.LIMA-LIMON X4SOB.,RAFFO S.A.,98%,$ 7.999,$ 160
1190,NATUREL CAJA 28 COMP.REC,ANDROMACO FARMA,30%,$ 18.899,$ 13.229
1191,NEBAPUL (B) 10mg X30COM.,PHARMA INVESTI,61%,$ 10.999,$ 4.290
1192,NEBULEX 50mcg SOL.NAS.X120DS.,LABORATORIO CHILE,41%,$ 15.999,$ 9.439
1193,NEOLARMAX 2.5mg JBE.75ml,ANDROMACO FARMA,30%,$ 9.999,$ 6.999
1194,NEORESOTYL 150mg X30COM.,RECALCINE,25%,$ 42.899,$ 32.174
1195,NEORESOTYL 50mg X30COM.,RECALCINE,25%,$ 28.999,$ 21.749
1196,NEUROCAM X10COM.REC.,RECALCINE,25%,$ 18.999,$ 14.249
1197,NEUROPRON FT 20mg COM.X30,ANDROMACO FARMA,40%,$ 50.999,$ 30.599
1198,NIFEDIPINO RET.20mg X30COM.REC.,GENERICOS,80%,$ 2.099,$ 420
1199,NIFEDIPINO RET.20mg X30COM.REC.,LABORATORIO CHILE,80%,$ 2.099,$ 420
1200,NIFEDIPINO RET.20mg X30COM.REC.,RECALCINE,80%,$ 2.099,$ 420
1201,NIFEDIPINO RET.20mg X30COM.REC.,ANDROMACO FARMA,80%,$ 2.099,$ 420
1202,NISTAGLOS CR.30g,ANDROMACO FARMA,30%,$ 12.699,$ 8.889
1203,NISTATINA 100000UI UNG.X15g,GENERICOS,61%,$ 1.999,$ 780
1204,NISTATINA 100000UI UNG.X15g,MINTLAB,61%,$ 1.999,$ 780
1205,NISTATINA 100000UI UNG.X15g,ANDROMACO FARMA,61%,$ 1.999,$ 780
1206,NISTATINA 100000UI UNG.X15g,LABORATORIO CHILE,61%,$ 1.999,$ 780
1207,NISTATINA 100000UI X12OVULOS,GENERICOS,60%,$ 3.299,$ 1.320
1208,NISTATINA 100000UI X12OVULOS,ANDROMACO FARMA,60%,$ 3.299,$ 1.320
1209,NISTATINA 100000UI X12OVULOS,LABORATORIO CHILE,60%,$ 3.299,$ 1.320
1210,NISTATINA 500000UI X12COM.,GENERICOS,66%,$ 3.899,$ 1.326
1211,NISTATINA 500000UI X12COM.,LABORATORIO CHILE,66%,$ 3.899,$ 1.326
1212,NITEXOL 30mg CAPS.X30,ANDROMACO FARMA,40%,$ 14.899,$ 8.939
1213,NITEXOL 60mg CAPS.X30,ANDROMACO FARMA,40%,$ 18.299,$ 10.979
1214,NITROFURANTOINA 100mg X10COM.,GENERICOS,30%,$ 1.499,$ 1.049
1215,NITROFURANTOINA 100mg X10COM.,MINTLAB,30%,$ 1.499,$ 1.049
1216,NITROFURANTOINA 100mg X10COM.,PASTEUR,30%,$ 1.499,$ 1.049
1217,NITROFURANTOINA 100mg X10COM.,RECALCINE,30%,$ 1.499,$ 1.049
1218,NITROFURANTOINA 100mg X10COM.,ANDROMACO FARMA,30%,$ 1.499,$ 1.049
1219,NITROFURANTOINA 100mg X10COM.,LABORATORIO CHILE,30%,$ 1.499,$ 1.049
1220,NOCTILAN 0.25mg X20COM.,BOEHRINGER INGELHEIM,32%,$ 16.499,$ 11.219
1221,NODUTAX (B) 25mg X30COM.REC.,SYNTHON,66%,$ 82.199,$ 27.948
1222,NOLAIS SHAMPOO X 120 ML,MEDIPHARM,34%,$ 3.799,$ 2.507
1223,NOOTROPYL 800mg X30COM.REC.,GLAXO,54%,$ 24.499,$ 11.270
1224,NOPTIC 2MGx30COMPR.,ANDROMACO FARMA,40%,$ 9.899,$ 5.939
1225,NOPTIC 3MGx30COMPR.,ANDROMACO FARMA,40%,$ 12.299,$ 7.379
1226,NORMIX 200mg COMP.X24,ANDROMACO FARMA,46%,$ 36.299,$ 19.601
1227,NORSIC 100MGX30COMP.REC,ANDROMACO FARMA,40%,$ 55.099,$ 33.059
1228,NORSIC 25MG.30COMP.,ANDROMACO FARMA,40%,$ 25.999,$ 15.599
1229,NORVETAL 20 CD X28COM.REC.,RECALCINE,25%,$ 11.399,$ 8.549
1230,NORVETAL CD X28COM.REC.,RECALCINE,50%,$ 7.599,$ 3.800
1231,NOSCAPINA 5mg JBE.100ml,GENERICOS,60%,$ 2.399,$ 960
1232,NOSCAPINA 5mg/5ml JBE.X100ml,PASTEUR,60%,$ 2.399,$ 960
1233,NOSCAPINA 5mg/5ml JBE.X100ml,ByB FARMACEUTICA,60%,$ 2.399,$ 960
1234,NOSCAPINA 5mg/5ml JBE.X100ml,LABORATORIO CHILE,60%,$ 2.399,$ 960
1235,NOSCAPINA 5mg/5ml JBE.X100ml,BAGO,60%,$ 2.399,$ 960
1236,NOSCAPINA 5mg/5ml JBE.X100ml,ANDROMACO FARMA,60%,$ 2.399,$ 960
1237,NOSCAPINA 5mg/5ml JBE.X100ml,GENEXX,60%,$ 2.399,$ 960
1238,NOSCAPINA 5mg/5ml JBE.X100ml,MINTLAB,60%,$ 2.399,$ 960
1239,NOSCAPINA 5mg/5ml JBE.X100ml,HOSPIFARMA,60%,$ 2.399,$ 960
1240,NOSCAPINA 5mg/5ml JBE.X100ml,EUROFARMA CHILE S.A.,60%,$ 2.399,$ 960
1241,NUMOSOL ADULTO JARABE x 100 ml,MEDIPHARM,40%,$ 4.799,$ 2.879
1242,NUM-ZIT 10mg COMP.X30,ANDROMACO FARMA,30%,$ 11.099,$ 7.769
1243,NUM-ZIT 15mg COMP.X30,ANDROMACO FARMA,30%,$ 9.999,$ 6.999
1244,NUM-ZIT 5 GTAS.25ml,ANDROMACO FARMA,30%,$ 11.099,$ 7.769
1245,ODATRON (B) 8mg X8COM.BUC.,PASTEUR,75%,$ 62.999,$ 15.750
1246,OFTALER FORTE 0.05% SOF.X10ml,SAVAL S.A.,23%,$ 26.299,$ 20.250
1247,OFTALIRIO SOF.X10ml,SAVAL S.A.,31%,$ 10.499,$ 7.244
1248,OFTASONA P SOF.X10ml,SAVAL S.A.,25%,$ 12.999,$ 9.749
1249,OLTAN AMLO 40/5 X30COM.REC.,ITF (EX LABOMED),42%,$ 16.399,$ 9.511
1250,OMEPRAZOL (B) 20mg X30CAP.,GENERICOS,65%,$ 1.399,$ 490
1251,OMEPRAZOL (B) 20mg X30CAP.,LABORATORIO CHILE,65%,$ 1.399,$ 490
1252,OMEPRAZOL (B) 20mg X30CAP.,OPKO,65%,$ 1.399,$ 490
1253,OMEPRAZOL (B) 20mg X30CAP.,MEDIPHARM,65%,$ 1.399,$ 490
1254,OMEPRAZOL (B) 20mg X30CAP.,MINTLAB,65%,$ 1.399,$ 490
1255,OMEPRAZOL (B) 20mg X30CAP.,RECALCINE,65%,$ 1.399,$ 490
1256,OMEPRAZOL (B) 20mg X30CAP.,SYNTHON,65%,$ 1.399,$ 490
1257,OMEPRAZOL (B) 20mg X30CAP.,SANITAS S.A.,65%,$ 1.399,$ 490
1258,OMEPRAZOL (B) 20mg X30CAP.,EUROFARMA CHILE S.A.,65%,$ 1.399,$ 490
1259,OMEPRAZOL (B) 20mg X30CAP.,ANDROMACO FARMA,65%,$ 1.399,$ 490
1260,ORALAFI 7.5mg X15COM.PROL.,RECALCINE,30%,$ 14.999,$ 10.499
1261,OTANDROL SOL.OT.5ml,ANDROMACO FARMA,20%,$ 6.399,$ 5.119
1262,OVIDREL 250mcg X1F-A,MERCK SA CHILE,15%,$ 57.699,$ 49.044
1263,OXICODAL 300mg X30COM.,RECALCINE,25%,$ 21.299,$ 15.974
1264,OXICODAL 600mg X30COM.,RECALCINE,25%,$ 34.299,$ 25.724
1265,OXOLAMINA AD.50mg/5ml JBE.X100ml,ANDROMACO FARMA,64%,$ 1.999,$ 720
1266,OXOLAMINA AD.50mg/5ml JBE.X100ml,MINTLAB,64%,$ 1.999,$ 720
1267,OXOLAMINA AD.50mg/5ml JBE.X100ml,LABORATORIO CHILE,64%,$ 1.999,$ 720
1268,OXOLAMINA AD.50mg/5ml JBE.X100ml,GENERICOS,64%,$ 1.999,$ 720
1269,OXOLAMINA PED.28mg/5ml JBE.X100ml,GENERICOS,67%,$ 1.899,$ 627
1270,OXOLAMINA PED.28mg/5ml JBE.X100ml,MINTLAB,67%,$ 1.899,$ 627
1271,OXOLAMINA PED.28mg/5ml JBE.X100ml,LABORATORIO CHILE,67%,$ 1.899,$ 627
1272,OXOLAMINA PED.28mg/5ml JBE.X100ml,ANDROMACO FARMA,67%,$ 1.899,$ 627
1273,PAMAX (B) 20mg X30COM.REC.,SANITAS S.A.,94%,$ 22.699,$ 1.362
1274,PANDEL CR.15g,ANDROMACO FARMA,30%,$ 19.899,$ 13.929
1275,PANTOCAL 40mg X28COM.REC.,EUROFARMA CHILE S.A.,40%,$ 18.999,$ 11.399
1276,PARACETAMOL (B) 500mg X16COM.,GENERICOS,85%,$ 1.199,$ 180
1277,PARACETAMOL (B) 500mg X16COM.,MINTLAB,85%,$ 1.199,$ 180
1278,PARACETAMOL (B) 500mg X16COM.,RECALCINE,85%,$ 1.199,$ 180
1279,PARACETAMOL (B) 500mg X16COM.,LABORATORIO CHILE,85%,$ 1.099,$ 165
1280,PARACETAMOL (B) 500mg X16COM.,ANDROMACO FARMA,85%,$ 1.199,$ 180
1281,PARACETAMOL (B) 500mg X16COM.,OPKO,85%,$ 1.199,$ 180
1282,PARACETAMOL (B) 500mg X16COM.,BAGO,85%,$ 1.199,$ 180
1283,PARACETAMOL 100mg/ml GTAS.X15ml,GENERICOS,77%,$ 1.499,$ 345
1284,PARACETAMOL 100mg/ml GTAS.X15ml,LABORATORIO CHILE,77%,$ 1.499,$ 345
1285,PARACETAMOL 100mg/ml GTAS.X15ml,GENEXX,77%,$ 1.499,$ 345
1286,PARACETAMOL 100mg/ml GTAS.X15ml,MINTLAB,77%,$ 1.499,$ 345
1287,PARACETAMOL 100mg/ml GTAS.X15ml,PASTEUR,77%,$ 1.499,$ 345
1288,PARACETAMOL 100mg/ml GTAS.X15ml,BAGO,77%,$ 1.499,$ 345
1289,PARACETAMOL 100mg/ml GTAS.X15ml,RECALCINE,77%,$ 1.499,$ 345
1290,PARACETAMOL 100mg/ml GTAS.X15ml,VALMA,77%,$ 1.499,$ 345
1291,PARACETAMOL 100mg/ml GTAS.X15ml,ANDROMACO FARMA,77%,$ 1.499,$ 345
1292,PARACETAMOL PED.125mg X5SUP.,GENERICOS,65%,$ 1.299,$ 455
1293,PARACETAMOL PED.125mg X5SUP.,LABORATORIO CHILE,65%,$ 1.299,$ 455
1294,PARACETAMOL PED.125mg X5SUP.,ANDROMACO FARMA,65%,$ 1.299,$ 455
1295,PASTA LASSAR X50g,MED CELL RECETARIO,61%,$ 1.489,$ 581
1296,PAZBRONQ ADULTO JARABE X 100 ML.,MEDIPHARM,42%,$ 3.999,$ 2.319
1297,PENICILINA G BENZ 1200000UI X1F-A,GENERICOS,82%,$ 1.499,$ 270
1298,PENICILINA G BENZ 1200000UI X1F-A,EUROFARMA CHILE S.A.,82%,$ 1.499,$ 270
1299,PENICILINA G BENZ 1200000UI X1F-A,RECALCINE,82%,$ 1.499,$ 270
1300,PENICILINA G BENZ 1200000UI X1F-A,OPKO,82%,$ 1.499,$ 270
1301,PENICILINA G BENZ 1200000UI X1F-A,LABORATORIO CHILE,82%,$ 1.499,$ 270
1302,PENICILINA G BENZ 1200000UI X1F-A,ANDROMACO FARMA,82%,$ 1.499,$ 270
1303,PENICILINA G SOD 1000000UI X1F-A,GENERICOS,91%,$ 899,$ 81
1304,PENICILINA G SOD 1000000UI X1F-A,OPKO,91%,$ 899,$ 81
1305,PENICILINA G SOD 1000000UI X1F-A,RECALCINE,91%,$ 899,$ 81
1306,PENICILINA G SOD 1000000UI X1F-A,ANDROMACO FARMA,91%,$ 899,$ 81
1307,PENICILINA G SOD 1000000UI X1F-A,LABORATORIO CHILE,91%,$ 899,$ 81
1308,PENICILINA G SOD 2000000UI X1F-A,GENERICOS,65%,$ 1.199,$ 420
1309,PENICILINA G SOD 2000000UI X1F-A,ANDROMACO FARMA,65%,$ 1.199,$ 420
1310,PENICILINA G SOD 2000000UI X1F-A,LABORATORIO CHILE,65%,$ 1.199,$ 420
1311,PENICILINA G SOD 2000000UI X1F-A,OPKO,65%,$ 1.199,$ 420
1312,PENICILINA G SOD 2000000UI X1F-A,RECALCINE,65%,$ 1.199,$ 420
1313,PENTASA 1g X28SUP.,FERRING,20%,$ 123.899,$ 99.119
1314,PENTASA 1g X50SOB.,FERRING,20%,$ 93.499,$ 74.799
1315,PENTASA 2g X30SOB.,FERRING,20%,$ 93.699,$ 74.959
1316,PENTASA 500mg X100COM.,FERRING,20%,$ 88.999,$ 71.199
1317,PENTOXIFILINA 400mg X30COM.,GENERICOS,65%,$ 7.399,$ 2.590
1318,PENTOXIFILINA 400mg X30COM.,LABORATORIO CHILE,65%,$ 7.399,$ 2.590
1319,PENTOXIFILINA 400mg X30COM.,ANDROMACO FARMA,65%,$ 7.399,$ 2.590
1320,PENTOXIFILINA 400mg X30COM.,GENEXX,65%,$ 7.399,$ 2.590
1321,PENTOXIFILINA 400mg X30COM.,MINTLAB,65%,$ 7.399,$ 2.590
1322,PERIO AID TRATAMIENTO COLU.X150ml,DENTAID S.A.,65%,$ 5.699,$ 1.995
1323,"PHOSLO 0,667mg X60COM.",PASTEUR,16%,$ 9.199,$ 7.727
1324,PIASCLEDINE CAPS.X30,PHARMA INVESTI,20%,$ 24.299,$ 19.439
1325,PIPLEX (B) 20mg X30CAP.BLANDAS,RECALCINE,35%,$ 53.199,$ 34.579
1326,PIPLEX 10mg X30CAP.BLANDAS,RECALCINE,20%,$ 30.999,$ 24.799
1327,PIROFLAM GEL x 30 grs.,MEDIPHARM,25%,$ 4.599,$ 3.449
1328,PIROFLAM GOTAS X 20 ML,MEDIPHARM,32%,$ 5.999,$ 4.079
1329,PLANIDEN ODT 10mg X30COM.,RECALCINE,54%,$ 14.999,$ 6.900
1330,PLANIDEN ODT 5mg X30COM.,RECALCINE,39%,$ 7.999,$ 4.879
1331,"PLAQUINOL (R) 200mg X30TAB,",SANOFI WINTHROP DE CHILE S.A.,76%,$ 44.099,$ 10.584
1332,PLAVIX (R) 75mg X28COM.REC.,SANOFI WINTHROP DE CHILE S.A.,74%,$ 63.099,$ 16.406
1333,PLESSIR 3mg. 30 Comprimidos Rec.,MEDIPHARM,25%,$ 8.899,$ 6.674
1334,PLEXUS JBE.X120ml,RECALCINE,25%,$ 11.899,$ 8.924
1335,PLEXUS X30COM.,RECALCINE,25%,$ 11.399,$ 8.549
1336,PLURIAMIN X30COM.PROL.,RECALCINE,50%,$ 18.999,$ 9.500
1337,PLUSCAL COMP.X30,PASTEUR,25%,$ 18.099,$ 13.574
1338,PLUSGIN (B) 150mg X2CAP.,RAFFO S.A.,15%,$ 6.899,$ 5.864
1339,PLUSTER 50mcg NEB.X120DS.,DEUTSCHE PHARMA S.A.,62%,$ 8.699,$ 3.306
1340,PLU-TOS JARABE 100 ML,MEDIPHARM,32%,$ 4.599,$ 3.127
1341,POEM 2.5mg X28COM.,SILESIA,50%,$ 18.399,$ 9.200
1342,POTASIO GLUCONATO 31.2% X200ml,LABORATORIO CHILE,53%,$ 5.899,$ 2.773
1343,POTASIO GLUCONATO 31.2% X200ml,GENERICOS,53%,$ 5.899,$ 2.773
1344,POVIN PDA.20g,ANDROMACO FARMA,20%,$ 2.999,$ 2.399
1345,PRADAXA 150mg X30CAP.,BOEHRINGER INGELHEIM,27%,$ 48.399,$ 35.331
1346,PRAYANOL 100mg X20CAP.,SANITAS S.A.,47%,$ 8.999,$ 4.769
1347,PRECLAR 250mg/5ml S.O.X80ml,LABORATORIO CHILE,81%,$ 16.799,$ 3.192
1348,PREDNISOLONA 1% SOF.X5ml,GENERICOS,81%,$ 9.899,$ 1.881
1349,PREDNISOLONA 1% SOF.X5ml,LABORATORIO CHILE,81%,$ 9.899,$ 1.881
1350,PREDNISOLONA 1% SOF.X5ml,PHARMATECH CHILE S.A.,81%,$ 9.799,$ 1.862
1351,PREDNISONA (B) 5mg X20COM.,GENERICOS,72%,$ 1.199,$ 336
1352,PREDNISONA (B) 5mg X20COM.,LABORATORIO CHILE,72%,$ 1.199,$ 336
1353,PREDNISONA (B) 5mg X20COM.,MINTLAB,72%,$ 1.199,$ 336
1354,PREDNISONA (B) 5mg X20COM.,ANDROMACO FARMA,72%,$ 1.199,$ 336
1355,PREGALEX 150MG/30COMP,ANDROMACO FARMA,40%,$ 34.499,$ 20.699
1356,PREGASTAR (B) 150mg X28CAP.,NOVARTIS CHILE S.A.,57%,$ 20.999,$ 9.030
1357,PREGOBIN (B) 150mg X30CAP.,RECALCINE,25%,$ 42.899,$ 32.174
1358,PREGOBIN (B) 75mg X30CAP.,RECALCINE,88%,$ 23.199,$ 2.784
1359,PRENAMIN NATAL VITAM/OMEGA X60CAP.,RECALCINE,25%,$ 20.099,$ 15.074
1360,PRIMAQUIN 1mg X30COM.REC.,RECALCINE,25%,$ 14.799,$ 11.099
1361,PRIMAQUIN 2mg X30COM.REC.,RECALCINE,51%,$ 16.999,$ 8.330
1362,PRIMIDONA 250mg X50COM.,LABORATORIO CHILE,30%,$ 4.899,$ 3.429
1363,PRIMIDONA 250mg X50COM.,RECALCINE,30%,$ 4.899,$ 3.429
1364,PRIMIDONA 250mg X50COM.,ANDROMACO FARMA,30%,$ 4.899,$ 3.429
1365,PRIMIDONA 250mg X50COM.,MINTLAB,30%,$ 4.899,$ 3.429
1366,PRIMIDONA 250mg X50COM.,GENERICOS,30%,$ 4.899,$ 3.429
1367,PRISTIQ 50mg X28COM.PROL.,PFIZER,40%,$ 56.699,$ 34.019
1368,PROCION 20 mg. x 20 comprimidos,MEDIPHARM,71%,$ 6.999,$ 2.030
1369,PROCION 20 mg/5ml SUSPENSION 60 ml.,MEDIPHARM,55%,$ 7.099,$ 3.195
1370,PRODASONE (R) 5mg X20COM.,PFIZER,68%,$ 11.999,$ 3.840
1371,PRODEL 2mg/5ml JBE.X120ml,PASTEUR,83%,$ 4.899,$ 833
1372,Profenid 100 mg x 10 CE,AVENTIS,36%,$ 12.399,$ 7.935
1373,Profenid 100 mg x 20 CE,AVENTIS,36%,$ 20.299,$ 12.991
1374,Profenid Bi 150 mg x 10 comp.,AVENTIS,36%,$ 16.299,$ 10.431
1375,PROGENDO 100mg X30CAP.BLANDAS,RECALCINE,25%,$ 19.299,$ 14.474
1376,PROGENDO 200mg X30CAP.BLANDAS,RECALCINE,25%,$ 22.499,$ 16.874
1377,PROGENDO 400mg X30CAP.BLANDAS,RECALCINE,25%,$ 31.999,$ 23.999
1378,PROPANOLOL 10mg X20COM.,GENERICOS,78%,$ 999,$ 220
1379,PROPANOLOL 10mg X20COM.,LABORATORIO CHILE,78%,$ 999,$ 220
1380,PROPANOLOL 10mg X20COM.,MINTLAB,78%,$ 999,$ 220
1381,PROPANOLOL 10mg X20COM.,PASTEUR,78%,$ 999,$ 220
1382,PROPANOLOL 10mg X20COM.,RECALCINE,78%,$ 999,$ 220
1383,PROPANOLOL 10mg X20COM.,ANDROMACO FARMA,78%,$ 999,$ 220
1384,PROPANOLOL 40mg X20COM.,GENERICOS,72%,$ 799,$ 224
1385,PROPANOLOL 40mg X20COM.,LABORATORIO CHILE,72%,$ 799,$ 224
1386,PROPANOLOL 40mg X20COM.,GENEXX,72%,$ 799,$ 224
1387,PROPANOLOL 40mg X20COM.,MINTLAB,72%,$ 799,$ 224
1388,PROPANOLOL 40mg X20COM.,PASTEUR,72%,$ 799,$ 224
1389,PROPANOLOL 40mg X20COM.,RECALCINE,72%,$ 799,$ 224
1390,PROPANOLOL 40mg X20COM.,SANITAS S.A.,72%,$ 799,$ 224
1391,PROPANOLOL 40mg X20COM.,ANDROMACO FARMA,72%,$ 799,$ 224
1392,PROSTALL 0.4mg X30COM.PROL.,RECALCINE,89%,$ 19.999,$ 2.200
1393,PRUCALEX 2mg COMP.X30,ANDROMACO FARMA,30%,$ 43.999,$ 30.799
1394,QUEPIMAX (B) 25mg COMP.X30,MEDIPHARM,61%,$ 16.299,$ 6.357
1395,QUETIAPINA (B) 100mg X30COM.REC,GENERICOS,90%,$ 23.599,$ 2.360
1396,QUETIAPINA (B) 100mg X30COM.REC,ANDROMACO FARMA,90%,$ 23.199,$ 2.320
1397,QUETIAPINA (B) 100mg X30COM.REC,LABORATORIO CHILE,90%,$ 11.899,$ 1.190
1398,QUETIAPINA (B) 100mg X30COM.REC,ASCEND LABORATORIES SPA,90%,$ 11.799,$ 1.180
1399,QUETIAPINA (B) 100mg X30COM.REC,ASCEND LABORATORIES SPA,90%,$ 12.499,$ 1.250
1400,QUETIDIN (B) 100mg X30COM.REC.,RECALCINE,35%,$ 43.399,$ 28.209
1401,QUETIDIN (B) 200mg X30COM.REC.,RECALCINE,35%,$ 65.199,$ 42.379
1402,QUETIDIN (B) 25mg X30COM.REC.,RECALCINE,35%,$ 25.999,$ 16.899
1403,QUETIDIN (B) 300mg X30COM.REC.,RECALCINE,35%,$ 80.999,$ 52.649
1404,QUETIDIN XR 150mg X30COM.,RECALCINE,35%,$ 47.999,$ 31.199
1405,QUETIDIN XR 200mg X30COM.REC.,RECALCINE,35%,$ 55.899,$ 36.334
1406,QUETIDIN XR 400mg X30COM.REC.,RECALCINE,35%,$ 82.999,$ 53.949
1407,QUETIDIN XR 50mg X30COM.REC.,RECALCINE,35%,$ 39.399,$ 25.609
1408,RADIGEN 1 mg. FRASCO 30 ml.,MEDIPHARM,25%,$ 15.599,$ 11.699
1409,RANITIDINA 300mg X10COM.,GENERICOS,61%,$ 1.499,$ 585
1410,RANITIDINA 300mg X10COM.,RECALCINE,61%,$ 1.499,$ 585
1411,RANITIDINA 300mg X10COM.,GENEXX,61%,$ 1.499,$ 585
1412,RANITIDINA 300mg X10COM.,BAGO,61%,$ 1.499,$ 585
1413,RANITIDINA 300mg X10COM.,MINTLAB,61%,$ 1.499,$ 585
1414,RANITIDINA 300mg X10COM.,ANDROMACO FARMA,61%,$ 1.499,$ 585
1415,RANITIDINA 300mg X10COM.,SANITAS S.A.,61%,$ 1.499,$ 585
1416,RANITIDINA 300mg X10COM.,LABORATORIO CHILE,61%,$ 1.499,$ 585
1417,REAX 10mg X30COM.,RECALCINE,25%,$ 11.399,$ 8.549
1418,RECAXIN (B) 150mg X1COM.REC.,RECALCINE,61%,$ 26.199,$ 10.218
1419,RECAXIN DUO X1/60COM.REC.,RECALCINE,25%,$ 31.099,$ 23.324
1420,REGENESIS MAX 30CAP.,EXELTIS CHILE,20%,$ 14.999,$ 11.999
1421,REGENESIS NEXT 30CAP.,EXELTIS CHILE,20%,$ 15.999,$ 12.799
1422,REGENESIS UP CAPS.X30,EXELTIS CHILE,20%,$ 14.999,$ 11.999
1423,RELVAR 184/22mcg INH.X30DS.,GLAXO,57%,$ 57.399,$ 24.682
1424,RELVAR 92/22mcg INH.X30DS.,GLAXO,55%,$ 54.999,$ 24.750
1425,REPOSIL 10mg. 30 Comprimidos Rec.,MEDIPHARM,58%,$ 15.999,$ 6.720
